model,split_id,selected_fraction,selected_rows,precision_in_selected,recall_of_true_top25,f1_selected,baseline_positive_rate_test
extra_trees_depth4_leaf5,1,0.1,38,0.7631578947368421,0.32222222222222224,0.453125,0.23872679045092837
extra_trees_depth4_leaf5,1,0.15,57,0.6842105263157895,0.43333333333333335,0.5306122448979592,0.23872679045092837
extra_trees_depth4_leaf5,1,0.2,76,0.631578947368421,0.5333333333333333,0.5783132530120482,0.23872679045092837
extra_trees_depth4_leaf5,1,0.25,95,0.5368421052631579,0.5666666666666667,0.5513513513513514,0.23872679045092837
extra_trees_depth4_leaf5,1,0.3,114,0.5087719298245614,0.6444444444444445,0.5686274509803921,0.23872679045092837
hist_gradient_boosting_l2,1,0.1,38,0.868421052631579,0.36666666666666664,0.515625,0.23872679045092837
hist_gradient_boosting_l2,1,0.15,57,0.8771929824561403,0.5555555555555556,0.6802721088435374,0.23872679045092837
hist_gradient_boosting_l2,1,0.2,76,0.8157894736842105,0.6888888888888889,0.7469879518072289,0.23872679045092837
hist_gradient_boosting_l2,1,0.25,95,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.23872679045092837
hist_gradient_boosting_l2,1,0.3,114,0.6052631578947368,0.7666666666666667,0.6764705882352942,0.23872679045092837
xgboost_small_regularized,1,0.1,38,0.868421052631579,0.36666666666666664,0.515625,0.23872679045092837
xgboost_small_regularized,1,0.15,57,0.8947368421052632,0.5666666666666667,0.6938775510204082,0.23872679045092837
xgboost_small_regularized,1,0.2,76,0.8026315789473685,0.6777777777777778,0.7349397590361446,0.23872679045092837
xgboost_small_regularized,1,0.25,95,0.7052631578947368,0.7444444444444445,0.7243243243243244,0.23872679045092837
xgboost_small_regularized,1,0.3,114,0.6140350877192983,0.7777777777777778,0.6862745098039216,0.23872679045092837
lightgbm_small_regularized,1,0.1,38,0.868421052631579,0.36666666666666664,0.515625,0.23872679045092837
lightgbm_small_regularized,1,0.15,57,0.8771929824561403,0.5555555555555556,0.6802721088435374,0.23872679045092837
lightgbm_small_regularized,1,0.2,76,0.8026315789473685,0.6777777777777778,0.7349397590361446,0.23872679045092837
lightgbm_small_regularized,1,0.25,95,0.7052631578947368,0.7444444444444445,0.7243243243243244,0.23872679045092837
lightgbm_small_regularized,1,0.3,114,0.6140350877192983,0.7777777777777778,0.6862745098039216,0.23872679045092837
catboost_small_regularized,1,0.1,38,0.8421052631578947,0.35555555555555557,0.5,0.23872679045092837
catboost_small_regularized,1,0.15,57,0.8771929824561403,0.5555555555555556,0.6802721088435374,0.23872679045092837
catboost_small_regularized,1,0.2,76,0.8026315789473685,0.6777777777777778,0.7349397590361446,0.23872679045092837
catboost_small_regularized,1,0.25,95,0.7157894736842105,0.7555555555555555,0.7351351351351352,0.23872679045092837
catboost_small_regularized,1,0.3,114,0.6228070175438597,0.7888888888888889,0.696078431372549,0.23872679045092837
logistic_C0.2_l2_balanced,2,0.1,37,0.972972972972973,0.4044943820224719,0.5714285714285714,0.2418478260869565
logistic_C0.2_l2_balanced,2,0.15,56,0.8928571428571429,0.5617977528089888,0.6896551724137931,0.2418478260869565
logistic_C0.2_l2_balanced,2,0.2,74,0.8513513513513513,0.7078651685393258,0.7730061349693251,0.2418478260869565
logistic_C0.2_l2_balanced,2,0.25,92,0.75,0.7752808988764045,0.7624309392265194,0.2418478260869565
logistic_C0.2_l2_balanced,2,0.3,111,0.6486486486486487,0.8089887640449438,0.72,0.2418478260869565
logistic_C1_l2_balanced,2,0.1,37,0.972972972972973,0.4044943820224719,0.5714285714285714,0.2418478260869565
logistic_C1_l2_balanced,2,0.15,56,0.9107142857142857,0.5730337078651685,0.7034482758620689,0.2418478260869565
logistic_C1_l2_balanced,2,0.2,74,0.8243243243243243,0.6853932584269663,0.7484662576687117,0.2418478260869565
logistic_C1_l2_balanced,2,0.25,92,0.7282608695652174,0.7528089887640449,0.7403314917127072,0.2418478260869565
logistic_C1_l2_balanced,2,0.3,111,0.6396396396396397,0.797752808988764,0.71,0.2418478260869565
logistic_C3_l2_balanced,2,0.1,37,0.972972972972973,0.4044943820224719,0.5714285714285714,0.2418478260869565
logistic_C3_l2_balanced,2,0.15,56,0.9285714285714286,0.5842696629213483,0.7172413793103448,0.2418478260869565
logistic_C3_l2_balanced,2,0.2,74,0.8108108108108109,0.6741573033707865,0.7361963190184049,0.2418478260869565
logistic_C3_l2_balanced,2,0.25,92,0.7282608695652174,0.7528089887640449,0.7403314917127072,0.2418478260869565
logistic_C3_l2_balanced,2,0.3,111,0.6306306306306306,0.7865168539325843,0.7,0.2418478260869565
logistic_C0.2_l1_balanced,2,0.1,37,0.918918918918919,0.38202247191011235,0.5396825396825397,0.2418478260869565
logistic_C0.2_l1_balanced,2,0.15,56,0.8928571428571429,0.5617977528089888,0.6896551724137931,0.2418478260869565
logistic_C0.2_l1_balanced,2,0.2,74,0.8243243243243243,0.6853932584269663,0.7484662576687117,0.2418478260869565
logistic_C0.2_l1_balanced,2,0.25,92,0.75,0.7752808988764045,0.7624309392265194,0.2418478260869565
logistic_C0.2_l1_balanced,2,0.3,111,0.6576576576576577,0.8202247191011236,0.73,0.2418478260869565
logistic_C0.75_l2_unweighted,2,0.1,37,0.972972972972973,0.4044943820224719,0.5714285714285714,0.2418478260869565
logistic_C0.75_l2_unweighted,2,0.15,56,0.9464285714285714,0.5955056179775281,0.7310344827586207,0.2418478260869565
logistic_C0.75_l2_unweighted,2,0.2,74,0.8513513513513513,0.7078651685393258,0.7730061349693251,0.2418478260869565
logistic_C0.75_l2_unweighted,2,0.25,92,0.75,0.7752808988764045,0.7624309392265194,0.2418478260869565
logistic_C0.75_l2_unweighted,2,0.3,111,0.6396396396396397,0.797752808988764,0.71,0.2418478260869565
logistic_C1_l2_unweighted,2,0.1,37,0.972972972972973,0.4044943820224719,0.5714285714285714,0.2418478260869565
