site_id,canonical_site_id,region,beach_name,beaches,previous_visit_start_date,next_visit_start_date,site_confidence,match_quality,site_review_reason,split_id,model,actual_repollution_kg_per_day,actual_top25,predicted_top25_score
1004,1004,ΚΥΘΝΟΣ,ΠΑΡΑΛΊΑ ΜΑΡΤΙΝΆΚΙΑ,ΚΎΘΝΟΣ ΠΑΡΑΛΊΑ 34,2020-04-20,2020-05-08,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,2,logistic_C1_unweighted,1.5,1,0.7456997341785315
1004,1004,ΚΥΘΝΟΣ 2η ΦΟΡΑ,ΠΑΡΑΛΊΑ ΜΑΡΤΙΝΆΚΙΑ | ΠΑΡΑΛΊΑ ΠΕΘΑΜΈΝΟΥ,ΚΎΘΝΟΣ ΠΑΡΑΛΊΑ 63 | ΚΎΘΝΟΣ ΠΑΡΑΛΊΑ 64,2020-05-08,2024-04-17,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,2,logistic_C1_unweighted,0.0256944444444444,0,0.035467503571159346
1041,1041,ΚΥΘΝΟΣ 2η ΦΟΡΑ,ΠΑΡΑΛΊΑ ΚΙΣΊΣ,ΚΎΘΝΟΣ ΠΑΡΑΛΊΑ 16,2020-05-03,2024-04-18,high,canonical_high,multiple_regions,2,logistic_C1_unweighted,0.0,0,0.03884298047921883
1047,1047,ΚΥΘΝΟΣ 2η ΦΟΡΑ,,ΚΎΘΝΟΣ ΠΑΡΑΛΊΑ 36 | ΚΎΘΝΟΣ ΠΑΡΑΛΊΑ 37,2020-05-04,2024-04-19,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,2,logistic_C1_unweighted,0.0,0,0.037249110081065774
1052,1052,ΚΥΘΝΟΣ 2η ΦΟΡΑ,,ΚΎΘΝΟΣ ΠΑΡΑΛΊΑ 48,2020-05-05,2024-04-17,high,canonical_high,multiple_regions,2,logistic_C1_unweighted,0.0,0,0.02538400930269387
1057,1057,ΚΥΘΝΟΣ 2η ΦΟΡΑ,,ΚΎΘΝΟΣ ΠΑΡΑΛΊΑ 59,2020-05-06,2024-04-17,high,canonical_high,multiple_regions,2,logistic_C1_unweighted,0.0,0,0.02896010727967122
1063,1063,ΚΥΘΝΟΣ 2η ΦΟΡΑ,ΠΑΡΑΛΊΑ ΜΕΡΣΙΝΙΆ,ΚΎΘΝΟΣ ΠΑΡΑΛΊΑ 73,2020-05-09,2024-04-19,high,canonical_high,multiple_special_numbers; multiple_regions,2,logistic_C1_unweighted,0.1179736294240111,1,0.6326735499138515
1064,1064,ΚΥΘΝΟΣ 2η ΦΟΡΑ,,ΚΎΘΝΟΣ ΠΑΡΑΛΊΑ 74,2020-05-09,2024-04-19,high,canonical_high,multiple_special_numbers; multiple_regions,2,logistic_C1_unweighted,0.0,0,0.05389848534899223
1065,1065,ΚΥΘΝΟΣ 2η ΦΟΡΑ,,ΚΎΘΝΟΣ ΠΑΡΑΛΊΑ 75,2020-05-09,2024-04-19,high,canonical_high,multiple_special_numbers; multiple_regions,2,logistic_C1_unweighted,0.0,0,0.026026965294288308
1066,1066,ΚΥΘΝΟΣ 2η ΦΟΡΑ,,ΚΎΘΝΟΣ ΠΑΡΑΛΊΑ 76,2020-05-09,2024-04-19,high,canonical_high,multiple_special_numbers; multiple_regions,2,logistic_C1_unweighted,0.0,0,0.038955981634708675
