index,model,selected_fraction,selected_rows_mean,selected_rows_std,precision_in_selected_mean,precision_in_selected_std,recall_of_true_top25_mean,recall_of_true_top25_std,f1_selected_mean,f1_selected_std,baseline_positive_rate_test_mean,baseline_positive_rate_test_std
32,logistic_C0.75_l2_unweighted,0.2,75.0,1.0000000000000004,0.8108553816974868,0.051805570366579394,0.6948782741591071,0.029881308074483675,0.7477439354479468,0.031908373693086016,0.23483238064017714,0.015298888549094562
33,logistic_C0.75_l2_unweighted,0.25,93.8,1.3038404810405295,0.7207835133475419,0.04875211088536159,0.7718256237494204,0.01387955900233327,0.7447623843075469,0.029136733554668923,0.23483238064017714,0.015298888549094562
34,logistic_C0.75_l2_unweighted,0.3,112.4,1.516575088810311,0.6298855246223668,0.03577104534897078,0.8088214637172241,0.02056696759060829,0.7076580450852896,0.024284525195395076,0.23483238064017714,0.015298888549094562
35,logistic_C1.25_l2_unweighted,0.1,37.6,0.5477225575051667,0.9150782361308677,0.03917169477828116,0.39449507884882595,0.03601522104963064,0.5508019823613539,0.039170230683745776,0.23483238064017714,0.015298888549094562
36,logistic_C1.25_l2_unweighted,0.15,56.4,0.547722557505166,0.8901002506265664,0.04237287127513452,0.57436734754845,0.03190713737160263,0.6976634670173176,0.02997865328720943,0.23483238064017714,0.015298888549094562
37,logistic_C1.25_l2_unweighted,0.2,75.0,1.0000000000000004,0.805521100047416,0.04659836254118475,0.690503423573403,0.02956162193447809,0.7429370065414149,0.028403204963136933,0.23483238064017714,0.015298888549094562
38,logistic_C1.25_l2_unweighted,0.25,93.8,1.3038404810405295,0.7207148634619582,0.049704497715715834,0.7717060923126525,0.014207531458905886,0.7446688416725677,0.03000901906541749,0.23483238064017714,0.015298888549094562
39,logistic_C1.25_l2_unweighted,0.3,112.4,1.516575088810311,0.6280684820158504,0.044935300273131196,0.805820918163487,0.01990667604192188,0.7053705956925771,0.03375822614735861,0.23483238064017714,0.015298888549094562
40,logistic_C1_l2_balanced,0.1,37.6,0.5477225575051667,0.9204836415362732,0.04905064624466512,0.39723037241317305,0.043376136857206954,0.5544457616447327,0.0490267122271349,0.23483238064017714,0.015298888549094562
41,logistic_C1_l2_balanced,0.15,56.4,0.547722557505166,0.8864661654135337,0.024143751282691455,0.5722658770898361,0.03000106281755657,0.6949831040901866,0.021518499740807155,0.23483238064017714,0.015298888549094562
42,logistic_C1_l2_balanced,0.2,75.0,1.0000000000000004,0.8053788525367473,0.03796967931372741,0.6904018264318988,0.019710420735110284,0.7428178238700978,0.014758816107380328,0.23483238064017714,0.015298888549094562
43,logistic_C1_l2_balanced,0.25,93.8,1.3038404810405295,0.7184956759419662,0.048066899031420154,0.7693822729489261,0.010995488013700939,0.7423988368611265,0.02781866551535047,0.23483238064017714,0.015298888549094562
44,logistic_C1_l2_balanced,0.3,112.4,1.516575088810311,0.6280210661789609,0.043615874126605336,0.8057442898109966,0.013226808036057903,0.7053111779861005,0.03133637481492752,0.23483238064017714,0.015298888549094562
45,logistic_C1_l2_unweighted,0.1,37.6,0.5477225575051667,0.9150782361308677,0.03917169477828116,0.39449507884882595,0.03601522104963064,0.5508019823613539,0.039170230683745776,0.23483238064017714,0.015298888549094562
46,logistic_C1_l2_unweighted,0.15,56.4,0.547722557505166,0.8901629072681704,0.04201827450485832,0.5748037905380845,0.03937458685956882,0.6979995350216667,0.03672783415708172,0.23483238064017714,0.015298888549094562
47,logistic_C1_l2_unweighted,0.2,75.0,1.0000000000000004,0.8134869606448554,0.049037168591464786,0.6971004963813293,0.025246702505627525,0.7501535740021638,0.027428162263109613,0.23483238064017714,0.015298888549094562
48,logistic_C1_l2_unweighted,0.25,93.8,1.3038404810405295,0.7207835133475419,0.04875211088536159,0.7718256237494204,0.01387955900233327,0.7447623843075469,0.029136733554668923,0.23483238064017714,0.015298888549094562
49,logistic_C1_l2_unweighted,0.3,112.4,1.516575088810311,0.6298541963015648,0.04126195531890334,0.8083850207275896,0.018946297080615952,0.7074758588504718,0.029735580120336464,0.23483238064017714,0.015298888549094562
50,logistic_C3_l2_balanced,0.1,37.6,0.5477225575051667,0.9098150782361308,0.047820875526579855,0.39236741927435786,0.03937953917734941,0.5477716793310508,0.0443292697529827,0.23483238064017714,0.015298888549094562
51,logistic_C3_l2_balanced,0.15,56.4,0.547722557505166,0.8900375939849624,0.026632758111475134,0.574418505453318,0.02727727659198815,0.6976696429669842,0.01866289926580102,0.23483238064017714,0.015298888549094562
