model,C,class_weight,split_id,average_precision,roc_auc,f1_at_0_5,precision_at_0_5,recall_at_0_5,balanced_accuracy_at_0_5
logistic_C0.5_balanced,0.5,balanced,4,0.7908593434860542,0.8734028683181226,0.6857142857142857,0.6185567010309279,0.7692307692307693,0.8219035202086049
logistic_C0.5_balanced,0.5,balanced,5,0.8254507431569709,0.9140571057227569,0.7407407407407407,0.6862745098039216,0.8045977011494253,0.8457617481012144
logistic_C0.5_unweighted,0.5,None,1,0.7975775011125293,0.8881145954316687,0.6944444444444444,0.9259259259259259,0.5555555555555556,0.7708091366627952
logistic_C0.5_unweighted,0.5,None,2,0.8195487268930255,0.8584430751882728,0.7483870967741936,0.8787878787878788,0.651685393258427,0.8115057790664895
logistic_C0.5_unweighted,0.5,None,3,0.7992620728488504,0.8997819712803549,0.7283950617283951,0.8676470588235294,0.6276595744680851,0.7979287271633712
logistic_C0.5_unweighted,0.5,None,4,0.791601655004584,0.875271621034333,0.7352941176470589,0.8620689655172413,0.6410256410256411,0.8069534984789222
logistic_C0.5_unweighted,0.5,None,5,0.8339484653301178,0.9210023963283377,0.7547169811320755,0.8333333333333334,0.6896551724137931,0.8236261727793348
logistic_C0.75_balanced,0.75,balanced,1,0.8041307184055069,0.8861014324428959,0.7379679144385026,0.711340206185567,0.7666666666666667,0.8345528455284553
logistic_C0.75_balanced,0.75,balanced,2,0.8188670431843467,0.8613426764930933,0.7311827956989247,0.7010309278350515,0.7640449438202247,0.8300511457452378
logistic_C0.75_balanced,0.75,balanced,3,0.8052558002114769,0.9084279377490414,0.7298578199052133,0.6581196581196581,0.8191489361702128,0.8389030899932336
logistic_C0.75_balanced,0.75,balanced,4,0.790708779005069,0.8734028683181225,0.6896551724137931,0.625,0.7692307692307693,0.8235984354628423
logistic_C0.75_balanced,0.75,balanced,5,0.825733172978449,0.9118232403233013,0.7395833333333334,0.6761904761904762,0.8160919540229885,0.8479753056334024
logistic_C0.75_unweighted,0.75,None,1,0.7968277144897499,0.8871854432830043,0.7114093959731543,0.8983050847457628,0.5888888888888889,0.7839914827719705
logistic_C0.75_unweighted,0.75,None,2,0.8191439532403008,0.8581611695058596,0.7532467532467533,0.8923076923076924,0.651685393258427,0.81329789376183
logistic_C0.75_unweighted,0.75,None,3,0.8042236072354673,0.9032403578678295,0.7239263803680982,0.855072463768116,0.6276595744680851,0.7961619427110743
logistic_C0.75_unweighted,0.75,None,4,0.7894996574237537,0.8754019991308126,0.7299270072992701,0.847457627118644,0.6410256410256411,0.805258583224685
logistic_C0.75_unweighted,0.75,None,5,0.835919392120884,0.9200276186994841,0.7672955974842768,0.8472222222222222,0.7011494252873564,0.8311400836684131
logistic_C1_balanced,1.0,balanced,1,0.8036921989882414,0.8862175764614789,0.7340425531914894,0.7040816326530612,0.7666666666666667,0.8328106852497097
logistic_C1_balanced,1.0,balanced,2,0.8182553779411788,0.8606580484072329,0.7272727272727273,0.6938775510204082,0.7640449438202247,0.8282590310498973
logistic_C1_balanced,1.0,balanced,3,0.8067662917000041,0.9094804901887077,0.7298578199052133,0.6581196581196581,0.8191489361702128,0.8389030899932336
logistic_C1_balanced,1.0,balanced,4,0.7901986927947348,0.8732290308561496,0.6857142857142857,0.6185567010309279,0.7692307692307693,0.8219035202086049
logistic_C1_balanced,1.0,balanced,5,0.8261409954984502,0.91101092563259,0.7473684210526316,0.6893203883495146,0.8160919540229885,0.851508874537996
logistic_C1_unweighted,1.0,None,1,0.7995047324387062,0.8877274487030584,0.72,0.9,0.6,0.789547038327526
logistic_C1_unweighted,1.0,None,2,0.8187397925001247,0.8581208972655149,0.7483870967741936,0.8787878787878788,0.651685393258427,0.8115057790664895
logistic_C1_unweighted,1.0,None,3,0.8053102769007756,0.9047064130516502,0.7393939393939394,0.8591549295774648,0.648936170212766,0.8068002405834147
logistic_C1_unweighted,1.0,None,4,0.7888422102149864,0.8748804867448935,0.7285714285714285,0.8225806451612904,0.6538461538461539,0.8082790091264668
logistic_C1_unweighted,1.0,None,5,0.8354168564916786,0.9175094431582795,0.775,0.8493150684931506,0.7126436781609196,0.8368872101051947
logistic_C1.25_balanced,1.25,balanced,1,0.8034638955946641,0.8852884243128145,0.71875,0.6764705882352942,0.7666666666666667,0.8258420441347271
logistic_C1.25_balanced,1.25,balanced,2,0.8174548738157319,0.8599734203213725,0.723404255319149,0.6868686868686869,0.7640449438202247,0.8264669163545568
logistic_C1.25_balanced,1.25,balanced,3,0.8081323500139195,0.9101947222013382,0.7238095238095238,0.6551724137931034,0.8085106382978723,0.8335839410570633
logistic_C1.25_balanced,1.25,balanced,4,0.7867941433310893,0.8723598435462843,0.7011494252873564,0.6354166666666666,0.782051282051282,0.8317036071273359
logistic_C1.25_balanced,1.25,balanced,5,0.825596299929455,0.9097518378619878,0.7473684210526316,0.6893203883495146,0.8160919540229885,0.851508874537996
logistic_C1.25_unweighted,1.25,None,1,0.798121728828016,0.8868370112272551,0.72,0.9,0.6,0.789547038327526
logistic_C1.25_unweighted,1.25,None,2,0.8189651232505821,0.8581611695058595,0.7564102564102564,0.8805970149253731,0.6629213483146067,0.8171237565945793
logistic_C1.25_unweighted,1.25,None,3,0.8064318218832941,0.9061724682354709,0.7469879518072289,0.8611111111111112,0.6595744680851063,0.812119389519585
logistic_C1.25_unweighted,1.25,None,4,0.7870241867130686,0.8741416775315082,0.7285714285714285,0.8225806451612904,0.6538461538461539,0.8082790091264668
logistic_C1.25_unweighted,1.25,None,5,0.8337659716764918,0.916169123918606,0.779874213836478,0.8611111111111112,0.7126436781609196,0.8386539945574916
logistic_C1.5_balanced,1.5,balanced,1,0.80459752777719,0.8845915602013162,0.7291666666666666,0.6862745098039216,0.7777777777777778,0.8331397599690282
