scope,split_id,task,model,rows_test,mae_raw_kg_per_day,rmse_raw_kg_per_day,rmse_log1p,r2_log1p,positive_rate_test,threshold,f1,precision,recall,balanced_accuracy,roc_auc,average_precision
broad,1,classification_positive_rate,random_forest_balanced,484,,,,,0.44834710743801653,,0.7112068965517241,0.6680161943319838,0.7603686635944701,0.7266262793627781,0.8124061512970537,0.7750914326979684
broad,1,classification_positive_rate,extra_trees_balanced,484,,,,,0.44834710743801653,,0.6899383983572895,0.6222222222222222,0.7741935483870968,0.6960855382384922,0.7749357082448782,0.7297837910506325
broad,1,classification_high_rate_top25_train_threshold,baseline_all_negative,484,,,,,0.24173553719008264,0.30598072562358275,0.0,0.0,0.0,0.5,0.5,0.24173553719008264
broad,1,classification_high_rate_top25_train_threshold,logistic_balanced,484,,,,,0.24173553719008264,0.30598072562358275,0.6447368421052632,0.5240641711229946,0.8376068376068376,0.7975500128088684,0.8524418360930623,0.616385055288161
broad,1,classification_high_rate_top25_train_threshold,random_forest_balanced,484,,,,,0.24173553719008264,0.30598072562358275,0.6296296296296297,0.5555555555555556,0.7264957264957265,0.7706048114767461,0.8729826032278347,0.6583704880920196
broad,1,classification_high_rate_top25_train_threshold,extra_trees_balanced,484,,,,,0.24173553719008264,0.30598072562358275,0.6174496644295302,0.5082872928176796,0.7863247863247863,0.7719089871678427,0.8604066233494027,0.6471429792584406
broad,2,regression_log_rate,baseline_zero,473,2.7552071239282134,23.822224102254907,0.8415055735556741,-0.1855557206445837,,,,,,,,
broad,2,regression_log_rate,baseline_train_median,473,2.7552071239282134,23.822224102254907,0.8415055735556741,-0.1855557206445837,,,,,,,,
broad,2,regression_log_rate,ridge_log,473,2.8523397115808122,23.428192458247683,0.6516677963426958,0.28901490453027967,,,,,,,,
broad,2,regression_log_rate,random_forest_log,473,2.5987921695547183,22.957130273160743,0.5400487200915566,0.5117144647116727,,,,,,,,
broad,2,regression_log_rate,extra_trees_log,473,2.5820349601665953,22.568152112743007,0.5323329811819553,0.5255671795702026,,,,,,,,
broad,2,classification_positive_rate,baseline_all_negative,473,,,,,0.4334038054968288,,0.0,0.0,0.0,0.5,0.5,0.4334038054968288
broad,2,classification_positive_rate,logistic_balanced,473,,,,,0.4334038054968288,,0.6334056399132321,0.5703125,0.7121951219512195,0.6508736803785948,0.7225518747724791,0.631197444871098
broad,2,classification_positive_rate,random_forest_balanced,473,,,,,0.4334038054968288,,0.7068965517241379,0.6332046332046332,0.8,0.7227611940298508,0.8063887877684747,0.7541853111195678
broad,2,classification_positive_rate,extra_trees_balanced,473,,,,,0.4334038054968288,,0.6885245901639344,0.5936395759717314,0.8195121951219512,0.6952038587550055,0.7812795777211503,0.7263150643812346
broad,2,classification_high_rate_top25_train_threshold,baseline_all_negative,473,,,,,0.23255813953488372,0.313953488372093,0.0,0.0,0.0,0.5,0.5,0.23255813953488372
broad,2,classification_high_rate_top25_train_threshold,logistic_balanced,473,,,,,0.23255813953488372,0.313953488372093,0.6138613861386139,0.48186528497409326,0.8454545454545455,0.7849862258953169,0.8491610318056598,0.5993904340633867
broad,2,classification_high_rate_top25_train_threshold,random_forest_balanced,473,,,,,0.23255813953488372,0.313953488372093,0.623574144486692,0.5359477124183006,0.7454545454545455,0.774931129476584,0.8681317305284247,0.6587355196625906
broad,2,classification_high_rate_top25_train_threshold,extra_trees_balanced,473,,,,,0.23255813953488372,0.313953488372093,0.5993031358885017,0.4858757062146893,0.7818181818181819,0.765564738292011,0.855985474580516,0.6525338368426362
broad,3,regression_log_rate,baseline_zero,474,1.9172179144556445,13.375025623018495,0.7971918993254278,-0.2019405864952677,,,,,,,,
broad,3,regression_log_rate,baseline_train_median,474,1.9172179144556445,13.375025623018495,0.7971918993254278,-0.2019405864952677,,,,,,,,
broad,3,regression_log_rate,ridge_log,474,1.9631951628713566,13.188848033703676,0.5742678961802532,0.37628480725607183,,,,,,,,
broad,3,regression_log_rate,random_forest_log,474,1.7688956596792125,11.920594809470819,0.49800358314223125,0.5309467153259567,,,,,,,,
broad,3,regression_log_rate,extra_trees_log,474,1.6990227507750226,12.071327777902646,0.46560009898549976,0.5900004552740864,,,,,,,,
broad,3,classification_positive_rate,baseline_all_negative,474,,,,,0.46835443037974683,,0.0,0.0,0.0,0.5,0.5,0.46835443037974683
