index,model,family,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,f1_at_0_5_mean,f1_at_0_5_std,precision_at_0_5_mean,precision_at_0_5_std,recall_at_0_5_mean,recall_at_0_5_std
29,xgb_d2_lr0.04_n200_reg,xgboost,0.7827800989384588,0.024903427503715173,0.8897729421355847,0.01868321036609118,0.6985390227757534,0.04688528891847177,0.6386554325570498,0.058522113778625325,0.7729679004016017,0.040548373190241765
19,lgbm_leaves7_lr0.02_n350_reg,lightgbm,0.7825626457190837,0.01769163956946482,0.8880383203144324,0.01918070711057742,0.7001495675754971,0.04658918824834878,0.6490699847121444,0.05356701197204404,0.7611909629019935,0.04425485284708204
2,cat_depth1_lr0.07_n150_reg,catboost,0.7824895961900213,0.02477252248186805,0.8895300881758221,0.019285200672584255,0.6953149457174801,0.038334471023919035,0.6158780541492406,0.047862116473560874,0.8000329178233174,0.03231269998772747
30,xgb_d2_lr0.07_n140_reg,xgboost,0.7823900443807996,0.023585371120470412,0.8907470204030876,0.018381031940053767,0.7051257430990441,0.045745731397547916,0.6459825959852943,0.04862010245509804,0.7774193793397961,0.049653688113852776
28,xgb_d2_lr0.02_n300_reg,xgboost,0.7821548095351977,0.021231291105956868,0.889392943144367,0.018730947799535616,0.6934361269583905,0.04492199960185218,0.6271436637774107,0.056819266378976024,0.7774123448460462,0.03433795468303425
12,histgb_leaf7_lr002_l2,hist_gradient_boosting,0.782139565267852,0.017736718438067105,0.8898712082578042,0.017233777962094354,0.734546559578413,0.0342714428454796,0.7826538409077501,0.048806008441878386,0.693004214284602,0.03343829568175578
32,xgb_d3_lr0.04_n200_reg,xgboost,0.7812544995505045,0.023527832666368646,0.890498293980043,0.01940536235256452,0.7067299571565531,0.03869819408612552,0.6532660270836084,0.0486286526057955,0.7709348034748877,0.031777873508862756
31,xgb_d3_lr0.02_n300_reg,xgboost,0.7807050485782268,0.02091241884256261,0.889162929160564,0.017535320275921445,0.7081991659356827,0.037154057878498306,0.6560008244888169,0.046918593208663414,0.7709597722639014,0.036132695126773494
17,lgbm_leaves5_lr0.04_n220_reg,lightgbm,0.780007079096355,0.019898261196543098,0.888728890554584,0.01987501296484888,0.7051322192401995,0.04012984204772911,0.6508337336484973,0.0496041668701068,0.7708402408271336,0.037698294887426924
20,lgbm_leaves7_lr0.04_n220_reg,lightgbm,0.7797935421514305,0.018781257548950134,0.8874240772839421,0.02036255483402532,0.705163384568429,0.0451375286857374,0.6547853670037531,0.05682491006807756,0.7660539160408087,0.043695121798142805
18,lgbm_leaves5_lr0.07_n150_reg,lightgbm,0.7792879533429543,0.02301818216765779,0.888819604514248,0.0210516439106422,0.7022677379835739,0.03593757194330638,0.6461596821485948,0.0478813644386762,0.7709597722639014,0.036132695126773494
1,cat_depth1_lr0.04_n220_reg,catboost,0.7789576214000441,0.027161392933811614,0.8889034613451783,0.01838783559677754,0.6879187027876739,0.04443349234179682,0.6054495763176946,0.05263623876052252,0.7977857268120815,0.031922502641297694
21,lgbm_leaves7_lr0.07_n150_reg,lightgbm,0.7770682514344721,0.021909319717300358,0.8868339549876832,0.01914777929128994,0.7088998128169113,0.04476995726542915,0.661243307377698,0.057247077631376986,0.7660027581359409,0.04360747989788773
0,cat_depth1_lr0.02_n350_reg,catboost,0.7764486170935342,0.026812419290536488,0.8876070861729953,0.01984840159392588,0.6864486150988913,0.046484982473999445,0.6021102035723143,0.05449427854148065,0.7999133863865495,0.03640157985540237
33,xgb_d3_lr0.07_n140_reg,xgboost,0.7762445858394742,0.023057846602184153,0.888894041445497,0.018926215416589176,0.7082999066181606,0.035684594185931826,0.6556826318949575,0.04398568562512246,0.7712766838167681,0.033395372998898366
11,histgb_leaf15_lr002_l2,hist_gradient_boosting,0.7740627968824537,0.01849114335433333,0.8861322622901842,0.01673143175985903,0.711735858175708,0.03191670366693244,0.7705494095238721,0.054317728510555816,0.6635033018930073,0.04023911751385191
27,xgb_d1_lr0.07_n140_reg,xgboost,0.7706043427542515,0.02596466055226904,0.8861086450525397,0.02068663578632638,0.6911610782819244,0.04303697197030508,0.6119465012195736,0.049996631573844416,0.7952216242479789,0.03514205293604875
26,xgb_d1_lr0.04_n200_reg,xgboost,0.767222151634054,0.030539527477332476,0.8842016373416465,0.021434080773718667,0.6903606904754447,0.04354447096183987,0.6081811153810348,0.05131351954571776,0.7999133863865495,0.03640157985540237
25,xgb_d1_lr0.02_n300_reg,xgboost,0.7624120331703088,0.03160737197135584,0.8844072103337576,0.021844369710769012,0.685506761586201,0.047573891395179285,0.5980363476663871,0.05300975219688291,0.8042882369722536,0.04095767727743755
24,rf_depth5_leaf8_balanced,random_forest,0.7162613493018645,0.029133511520729297,0.8792178768036836,0.016021378095269934,0.6642111855588652,0.035998914496570715,0.571511373853414,0.03832846527782232,0.7933335292056553,0.030642624872867986
23,rf_depth3_leaf10_balanced,random_forest,0.7036586736691259,0.039427650649696236,0.8694527558848277,0.01969005698090967,0.649622849765066,0.0462087455373638,0.5475646281773668,0.05294838740961405,0.8003486090493436,0.03144614927972955
10,extra_trees_depth5_leaf8_balanced,extra_trees,0.62853022077061,0.05707078399812692,0.8287711376626312,0.02985595121391558,0.6149819729433809,0.04447040458855221,0.5728047988681183,0.06637193474142385,0.6672936525601252,0.033961830534657185
9,extra_trees_depth3_leaf10_balanced,extra_trees,0.6137435590082413,0.055152475172336915,0.8176780379402213,0.02833320216093747,0.5955354049435313,0.04481487564551738,0.5550690917648273,0.08071300759004231,0.6497937485587003,0.03832870153500147
