model,family,split_id,target_threshold_train,average_precision,roc_auc,f1_at_0_5,precision_at_0_5,recall_at_0_5
extra_trees_depth3_leaf10_balanced,extra_trees,3,0.08086093914398546,0.6025964241053368,0.820577400195474,0.5631067961165048,0.5178571428571429,0.6170212765957447
extra_trees_depth3_leaf10_balanced,extra_trees,4,0.08965532467628037,0.5745398271586855,0.807322903085615,0.5638297872340425,0.4818181818181818,0.6794871794871795
extra_trees_depth3_leaf10_balanced,extra_trees,5,0.083669936526255,0.6932928161777401,0.8577433897892043,0.6421052631578947,0.5922330097087378,0.7011494252873564
extra_trees_depth5_leaf8_balanced,extra_trees,1,0.081999739786625,0.5608907711866449,0.7865079365079366,0.5576923076923077,0.4915254237288136,0.6444444444444445
extra_trees_depth5_leaf8_balanced,extra_trees,2,0.0816462571597866,0.657552097366817,0.8360315734364302,0.6666666666666666,0.6704545454545454,0.6629213483146067
extra_trees_depth5_leaf8_balanced,extra_trees,3,0.08086093914398546,0.6294970321106641,0.8358957973084731,0.6,0.5660377358490566,0.6382978723404256
extra_trees_depth5_leaf8_balanced,extra_trees,4,0.08965532467628037,0.58861375776503,0.8173402868318123,0.5977011494252874,0.5416666666666666,0.6666666666666666
extra_trees_depth5_leaf8_balanced,extra_trees,5,0.083669936526255,0.7060974454238946,0.8680800942285041,0.6528497409326425,0.5943396226415094,0.7241379310344828
histgb_leaf7_lr002_l2,hist_gradient_boosting,1,0.081999739786625,0.7783220877183282,0.8835849787069299,0.7283950617283951,0.8194444444444444,0.6555555555555556
histgb_leaf7_lr002_l2,hist_gradient_boosting,2,0.0816462571597866,0.7914372516076087,0.8797672264508075,0.7619047619047619,0.810126582278481,0.7191011235955056
histgb_leaf7_lr002_l2,hist_gradient_boosting,3,0.08086093914398546,0.8070603201769556,0.9184083903465906,0.770949720670391,0.8117647058823529,0.7340425531914894
histgb_leaf7_lr002_l2,hist_gradient_boosting,4,0.08965532467628037,0.7608484637646649,0.8749022164276403,0.6842105263157895,0.7027027027027027,0.6666666666666666
histgb_leaf7_lr002_l2,hist_gradient_boosting,5,0.083669936526255,0.7730297030717026,0.892693229357053,0.7272727272727273,0.7692307692307693,0.6896551724137931
histgb_leaf15_lr002_l2,hist_gradient_boosting,1,0.081999739786625,0.7668805597027889,0.8723770809136663,0.7133757961783439,0.835820895522388,0.6222222222222222
histgb_leaf15_lr002_l2,hist_gradient_boosting,2,0.0816462571597866,0.7880168264903658,0.8800088598928758,0.7441860465116279,0.7710843373493976,0.7191011235955056
histgb_leaf15_lr002_l2,hist_gradient_boosting,3,0.08086093914398546,0.796011837940923,0.9138034734230509,0.7344632768361582,0.7831325301204819,0.6914893617021277
histgb_leaf15_lr002_l2,hist_gradient_boosting,4,0.08965532467628037,0.749044366357758,0.8752716210343329,0.6622516556291391,0.684931506849315,0.6410256410256411
histgb_leaf15_lr002_l2,hist_gradient_boosting,5,0.083669936526255,0.770360393920433,0.8892002761869948,0.7044025157232704,0.7777777777777778,0.6436781609195402
xgb_d1_lr0.02_n300_reg,xgboost,1,0.081999739786625,0.782490186095802,0.8894696089818042,0.6635071090047393,0.5785123966942148,0.7777777777777778
xgb_d1_lr0.02_n300_reg,xgboost,2,0.0816462571597866,0.787403496268627,0.8764850388627119,0.6857142857142857,0.5950413223140496,0.8089887640449438
xgb_d1_lr0.02_n300_reg,xgboost,3,0.08086093914398546,0.7794982408341095,0.9093489211337493,0.7488584474885844,0.656,0.8723404255319149
xgb_d1_lr0.02_n300_reg,xgboost,4,0.08965532467628037,0.7120366254063679,0.8515210777922644,0.6217616580310881,0.5217391304347826,0.7692307692307693
xgb_d1_lr0.02_n300_reg,xgboost,5,0.083669936526255,0.7506316172466379,0.8952114048982577,0.7076923076923077,0.6388888888888888,0.7931034482758621
xgb_d1_lr0.04_n200_reg,xgboost,1,0.081999739786625,0.7770308011320264,0.8849206349206349,0.6896551724137931,0.6194690265486725,0.7777777777777778
xgb_d1_lr0.04_n200_reg,xgboost,2,0.0816462571597866,0.7951487212738251,0.8766259917039185,0.6893203883495146,0.6068376068376068,0.797752808988764
xgb_d1_lr0.04_n200_reg,xgboost,3,0.08086093914398546,0.7835675838788119,0.9110969100067663,0.7397260273972602,0.648,0.8617021276595744
xgb_d1_lr0.04_n200_reg,xgboost,4,0.08965532467628037,0.716464569829478,0.8534984789222078,0.6217616580310881,0.5217391304347826,0.7692307692307693
xgb_d1_lr0.04_n200_reg,xgboost,5,0.083669936526255,0.7638990820561288,0.8948661711547053,0.711340206185567,0.6448598130841121,0.7931034482758621
xgb_d1_lr0.07_n140_reg,xgboost,1,0.081999739786625,0.7764715671731717,0.8863337204800619,0.6862745098039216,0.6140350877192983,0.7777777777777778
xgb_d1_lr0.07_n140_reg,xgboost,2,0.0816462571597866,0.7996138752416966,0.8768877612661591,0.6995073891625616,0.6228070175438597,0.797752808988764
xgb_d1_lr0.07_n140_reg,xgboost,3,0.08086093914398546,0.7824544139505419,0.9110593188482068,0.7339449541284404,0.6451612903225806,0.851063829787234
xgb_d1_lr0.07_n140_reg,xgboost,4,0.08965532467628037,0.7300864151098281,0.8571925249891352,0.6210526315789474,0.5267857142857143,0.7564102564102564
xgb_d1_lr0.07_n140_reg,xgboost,5,0.083669936526255,0.7643954422960194,0.8990698996791356,0.7150259067357513,0.6509433962264151,0.7931034482758621
xgb_d2_lr0.02_n300_reg,xgboost,1,0.081999739786625,0.7780244728992411,0.8848432055749129,0.7015706806282722,0.6633663366336634,0.7444444444444445
xgb_d2_lr0.02_n300_reg,xgboost,2,0.0816462571597866,0.7959057266805917,0.8775321171116749,0.6865671641791045,0.6160714285714286,0.7752808988764045
xgb_d2_lr0.02_n300_reg,xgboost,3,0.08086093914398546,0.8091517109092108,0.9178069318096383,0.7333333333333333,0.6637931034482759,0.8191489361702128
xgb_d2_lr0.02_n300_reg,xgboost,4,0.08965532467628037,0.7539044688354578,0.8699261190786615,0.6203208556149733,0.5321100917431193,0.7435897435897436
xgb_d2_lr0.02_n300_reg,xgboost,5,0.083669936526255,0.7737876683514873,0.8968563421469476,0.7253886010362695,0.660377358490566,0.8045977011494253
xgb_d2_lr0.04_n200_reg,xgboost,1,0.081999739786625,0.7797328692183917,0.8884049554781263,0.6914893617021277,0.6632653061224489,0.7222222222222222
xgb_d2_lr0.04_n200_reg,xgboost,2,0.0816462571597866,0.7946920484895076,0.8759816358584026,0.6865671641791045,0.6160714285714286,0.7752808988764045
xgb_d2_lr0.04_n200_reg,xgboost,3,0.08086093914398546,0.816566475804819,0.9188594842493045,0.751219512195122,0.6936936936936937,0.8191489361702128
xgb_d2_lr0.04_n200_reg,xgboost,4,0.08965532467628037,0.7496548605904941,0.8713820078226858,0.6304347826086957,0.5471698113207547,0.7435897435897436
xgb_d2_lr0.04_n200_reg,xgboost,5,0.083669936526255,0.7732542405890812,0.8942366272694042,0.7329842931937173,0.6730769230769231,0.8045977011494253
xgb_d2_lr0.07_n140_reg,xgboost,1,0.081999739786625,0.780206811486116,0.8879597367402244,0.6772486772486772,0.6464646464646465,0.7111111111111111
xgb_d2_lr0.07_n140_reg,xgboost,2,0.0816462571597866,0.7919055270812763,0.8758205468970239,0.7070707070707071,0.6422018348623854,0.7865168539325843
xgb_d2_lr0.07_n140_reg,xgboost,3,0.08086093914398546,0.8148092465075769,0.9189346665664236,0.7572815533980582,0.6964285714285714,0.8297872340425532
xgb_d2_lr0.07_n140_reg,xgboost,4,0.08965532467628037,0.7505002771553207,0.8738591916558017,0.6444444444444445,0.5686274509803921,0.7435897435897436
xgb_d2_lr0.07_n140_reg,xgboost,5,0.083669936526255,0.7745283596737085,0.8971609601559645,0.7395833333333334,0.6761904761904762,0.8160919540229885
xgb_d3_lr0.02_n300_reg,xgboost,1,0.081999739786625,0.784274720515915,0.8873403019744484,0.6989247311827957,0.6770833333333334,0.7222222222222222
xgb_d3_lr0.02_n300_reg,xgboost,2,0.0816462571597866,0.7951066745832945,0.875337280012887,0.7070707070707071,0.6422018348623854,0.7865168539325843
