scope,split_id,task,model,rows_test,mae_raw_kg_per_day,rmse_raw_kg_per_day,rmse_log1p,r2_log1p,positive_rate_test,threshold,f1,precision,recall,balanced_accuracy,roc_auc,average_precision
strict,5,regression_log_rate,random_forest_log,370,0.859779212499667,7.193062533591026,0.29785210079552044,0.727065232849812,,,,,,,,
strict,5,regression_log_rate,extra_trees_log,370,0.9055274857873321,7.540560477789117,0.34239126355553806,0.6393359335583051,,,,,,,,
strict,5,classification_positive_rate,baseline_all_negative,370,,,,,0.3,,0.0,0.0,0.0,0.5,0.5,0.3
strict,5,classification_positive_rate,logistic_balanced,370,,,,,0.3,,0.6825396825396826,0.6099290780141844,0.7747747747747747,0.7812097812097811,0.8638213503078368,0.739333293503163
strict,5,classification_positive_rate,random_forest_balanced,370,,,,,0.3,,0.6885245901639344,0.631578947368421,0.7567567567567568,0.7837837837837838,0.8744999826080907,0.7217342183217023
strict,5,classification_positive_rate,extra_trees_balanced,370,,,,,0.3,,0.6766917293233082,0.5806451612903226,0.8108108108108109,0.7799227799227799,0.8491599707815924,0.7005344717661949
strict,5,classification_high_rate_top25_train_threshold,baseline_all_negative,370,,,,,0.23513513513513515,0.083669936526255,0.0,0.0,0.0,0.5,0.5,0.23513513513513515
strict,5,classification_high_rate_top25_train_threshold,logistic_balanced,370,,,,,0.23513513513513515,0.083669936526255,0.7539267015706806,0.6923076923076923,0.8275862068965517,0.8572560009747776,0.9128386336866903,0.8013510954357671
strict,5,classification_high_rate_top25_train_threshold,random_forest_balanced,370,,,,,0.23513513513513515,0.083669936526255,0.7111111111111111,0.6881720430107527,0.735632183908046,0.8165793428374153,0.9029283944600138,0.758504275818106
strict,5,classification_high_rate_top25_train_threshold,extra_trees_balanced,370,,,,,0.23513513513513515,0.083669936526255,0.6796116504854369,0.5882352941176471,0.8045977011494253,0.8157264124121685,0.8810974371471507,0.7359232968823053
broad,1,regression_log_rate,baseline_zero,540,1.909172900062734,21.45348735441071,0.655662497185381,-0.099973191936092,,,,,,,,
broad,1,regression_log_rate,baseline_train_median,540,1.909172900062734,21.45348735441071,0.655662497185381,-0.099973191936092,,,,,,,,
broad,1,regression_log_rate,ridge_log,540,1.9472284677719653,20.71642385821447,0.45410771799528205,0.4723582155994014,,,,,,,,
broad,1,regression_log_rate,random_forest_log,540,1.6760216577210525,19.713285190680466,0.33345778243762453,0.7154863354923531,,,,,,,,
broad,1,regression_log_rate,extra_trees_log,540,1.7761788742107638,20.459714672416315,0.389332889241737,0.6121501754531894,,,,,,,,
broad,1,classification_positive_rate,baseline_all_negative,540,,,,,0.3388888888888889,,0.0,0.0,0.0,0.5,0.5,0.3388888888888889
broad,1,classification_positive_rate,logistic_balanced,540,,,,,0.3388888888888889,,0.6632390745501285,0.6262135922330098,0.7049180327868853,0.7446158791385407,0.819151704397606,0.7277476755331626
broad,1,classification_positive_rate,random_forest_balanced,540,,,,,0.3388888888888889,,0.6666666666666666,0.6461538461538462,0.6885245901639344,0.7476236396197824,0.8391957876046594,0.726216299033091
broad,1,classification_positive_rate,extra_trees_balanced,540,,,,,0.3388888888888889,,0.6265664160401002,0.5787037037037037,0.6830601092896175,0.7140790742526519,0.7989928211721848,0.6946535579664376
broad,1,classification_high_rate_top25_train_threshold,baseline_all_negative,540,,,,,0.21481481481481482,0.147982062780269,0.0,0.0,0.0,0.5,0.5,0.21481481481481482
broad,1,classification_high_rate_top25_train_threshold,logistic_balanced,540,,,,,0.21481481481481482,0.147982062780269,0.664179104477612,0.5855263157894737,0.7672413793103449,0.8093282368249837,0.8614183474300585,0.743784679611491
broad,1,classification_high_rate_top25_train_threshold,random_forest_balanced,540,,,,,0.21481481481481482,0.147982062780269,0.6403162055335968,0.5912408759124088,0.6982758620689655,0.7831001951854262,0.8686564736499676,0.7105277402891892
broad,1,classification_high_rate_top25_train_threshold,extra_trees_balanced,540,,,,,0.21481481481481482,0.147982062780269,0.622568093385214,0.5673758865248227,0.6896551724137931,0.7728936239427456,0.838524723487313,0.6427103720542617
broad,2,regression_log_rate,baseline_zero,552,2.5572766951042536,17.07801170898645,0.8297192449314205,-0.12891582442233984,,,,,,,,
broad,2,regression_log_rate,baseline_train_median,552,2.5572766951042536,17.07801170898645,0.8297192449314205,-0.12891582442233984,,,,,,,,
broad,2,regression_log_rate,ridge_log,552,2.443811030434501,16.180801963256247,0.5411346184613299,0.5198135836481588,,,,,,,,
broad,2,regression_log_rate,random_forest_log,552,2.2142782988931393,14.578675431394128,0.3921165972377858,0.7478670040948774,,,,,,,,
broad,2,regression_log_rate,extra_trees_log,552,2.2391590868347473,15.399747517789224,0.403245385597844,0.7333521743616045,,,,,,,,
broad,2,classification_positive_rate,baseline_all_negative,552,,,,,0.4057971014492754,,0.0,0.0,0.0,0.5,0.5,0.4057971014492754
broad,2,classification_positive_rate,logistic_balanced,552,,,,,0.4057971014492754,,0.7483296213808464,0.7466666666666667,0.75,0.788109756097561,0.8454649390243902,0.8021648420631581
broad,2,classification_positive_rate,random_forest_balanced,552,,,,,0.4057971014492754,,0.7473002159827213,0.7238493723849372,0.7723214285714286,0.7855509581881533,0.8540804660278746,0.7955124131457192
broad,2,classification_positive_rate,extra_trees_balanced,552,,,,,0.4057971014492754,,0.720682302771855,0.689795918367347,0.7544642857142857,0.7613784843205575,0.8302346472125436,0.7623947166265741
broad,2,classification_high_rate_top25_train_threshold,baseline_all_negative,552,,,,,0.2717391304347826,0.1251448435689455,0.0,0.0,0.0,0.5,0.5,0.2717391304347826
