index,scope,task,model,rows_test_mean,rows_test_std,mae_raw_kg_per_day_mean,mae_raw_kg_per_day_std,rmse_raw_kg_per_day_mean,rmse_raw_kg_per_day_std,rmse_log1p_mean,rmse_log1p_std,r2_log1p_mean,r2_log1p_std,positive_rate_test_mean,positive_rate_test_std,threshold_mean,threshold_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std
10,broad,regression_log_rate,extra_trees_log,546.8,8.04363102087609,1.7219149609620978,0.4868683336811365,15.830397521316064,5.761921310172107,0.404429291102878,0.06070549926019373,0.6252433038730386,0.09768300039388457,,,,,,,,,,,,,,,,
11,broad,regression_log_rate,random_forest_log,546.8,8.04363102087609,1.6951179707977702,0.46047988192010475,15.454226015390969,5.577541529808869,0.38857415124932526,0.0527540953630184,0.6522534188646126,0.09578836436942276,,,,,,,,,,,,,,,,
12,broad,regression_log_rate,ridge_log,546.8,8.04363102087609,1.9243976531921312,0.5055079795815547,15.994863959447358,5.440712697433535,0.4897317150717758,0.04470090169611352,0.45668119297945964,0.06618007681100481,,,,,,,,,,,,,,,,
13,strict,classification_high_rate_top25_train_threshold,baseline_all_negative,373.0,4.06201920231798,,,,,,,,,0.23483238064017714,0.015298888549094562,0.08356643945858648,0.0035548071224864664,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.23483238064017714,0.015298888549094562
14,strict,classification_high_rate_top25_train_threshold,extra_trees_balanced,373.0,4.06201920231798,,,,,,,,,0.23483238064017714,0.015298888549094562,0.08356643945858648,0.0035548071224864664,0.6416638487133424,0.029244453813373778,0.5753178513721258,0.0159214543822719,0.7269079221828857,0.0581544054822949,0.7814131586234494,0.02687070921594667,0.8581162849125846,0.018741119828685267,0.6865122773256058,0.03566542267734261
15,strict,classification_high_rate_top25_train_threshold,logistic_balanced,373.0,4.06201920231798,,,,,,,,,0.23483238064017714,0.015298888549094562,0.08356643945858648,0.0035548071224864664,0.731506910273508,0.023431987257364353,0.6852109248140176,0.03598754242723684,0.7857307224821053,0.024129082199579568,0.837523428970097,0.013012935660350208,0.8934317966739108,0.01824594406415241,0.7927281017425706,0.013324993585381336
16,strict,classification_high_rate_top25_train_threshold,random_forest_balanced,373.0,4.06201920231798,,,,,,,,,0.23483238064017714,0.015298888549094562,0.08356643945858648,0.0035548071224864664,0.6846593757120073,0.042609395055133274,0.6703321429665515,0.04613037097146444,0.702113308756289,0.058300409490321496,0.7982078014425236,0.027278042262820993,0.8907290098927895,0.011231652498448017,0.7388732266569286,0.025211963267933537
17,strict,classification_positive_rate,baseline_all_negative,373.0,4.06201920231798,,,,,,,,,0.32062737088869464,0.019558086467056018,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.32062737088869464,0.019558086467056018
18,strict,classification_positive_rate,extra_trees_balanced,373.0,4.06201920231798,,,,,,,,,0.32062737088869464,0.019558086467056018,,,0.6495142886665587,0.024442251607991402,0.5826260800304747,0.027639291902396813,0.7366782287513995,0.054336998284153795,0.7437165710787169,0.030198725356397532,0.8212334283427394,0.01903042828532584,0.683187540294402,0.013723671287828499
19,strict,classification_positive_rate,logistic_balanced,373.0,4.06201920231798,,,,,,,,,0.32062737088869464,0.019558086467056018,,,0.6881576193566643,0.0054630219792899054,0.649519451618736,0.028032062969279507,0.7341942116332361,0.035172276822518646,0.7737090078591049,0.01086095462647678,0.8463683030614793,0.013110237122787196,0.7538461892103505,0.012321488622390048
20,strict,classification_positive_rate,random_forest_balanced,373.0,4.06201920231798,,,,,,,,,0.32062737088869464,0.019558086467056018,,,0.6904417063059685,0.021966353289251447,0.6616136218682909,0.02793678591307294,0.7234429115526677,0.038029890505341855,0.774578623182673,0.019266610064769846,0.8577216997629288,0.0133433337736185,0.7356046932127565,0.012010865526722703
21,strict,regression_log_rate,baseline_train_median,373.0,4.06201920231798,1.3376499604960732,0.4110079417698059,10.852440103820545,3.947999126482597,0.63692299763015,0.05962074466732775,-0.09357127006668824,0.010394328789275785,,,,,,,,,,,,,,,,
22,strict,regression_log_rate,baseline_zero,373.0,4.06201920231798,1.3376499604960732,0.4110079417698059,10.852440103820545,3.947999126482597,0.63692299763015,0.05962074466732775,-0.09357127006668824,0.010394328789275785,,,,,,,,,,,,,,,,
23,strict,regression_log_rate,extra_trees_log,373.0,4.06201920231798,1.1330213220677061,0.3905114372831231,9.437630402960021,4.008114008953697,0.3435217407386731,0.05432501957987911,0.6785221974530686,0.07927085909009914,,,,,,,,,,,,,,,,
24,strict,regression_log_rate,random_forest_log,373.0,4.06201920231798,1.0352107131426864,0.2708394610123956,8.81091867761592,3.250465303581728,0.31485564914115727,0.044004565214582375,0.7325214930785814,0.04220177274830947,,,,,,,,,,,,,,,,
25,strict,regression_log_rate,ridge_log,373.0,4.06201920231798,1.2889523565545247,0.37638272982266496,10.228848841786512,3.854338495400682,0.4283234707013174,0.03619226043459781,0.5045906617870237,0.02053315754600035,,,,,,,,,,,,,,,,
