analysis_type,feature_set,detail,split_id,n_features,features,top25_threshold_train,positive_rate_test,average_precision,roc_auc,f1,precision,recall,balanced_accuracy
leave_one_out,minus_longitude,longitude,4,20,"previous_visit_month, previous_visit_season, latitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.08965532467628037,0.20911528150134048,0.7859086590540043,0.8793133420252064,0.6702702702702703,0.5794392523364486,0.7948717948717948,0.8211647109952194
leave_one_out,minus_longitude,longitude,5,20,"previous_visit_month, previous_visit_season, latitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.083669936526255,0.23513513513513515,0.81033092418471,0.9128792494212257,0.7564766839378239,0.6886792452830188,0.8390804597701149,0.8612363429592624
leave_one_out,minus_orientation,orientation,1,20,"previous_visit_month, previous_visit_season, latitude, longitude, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.081999739786625,0.23872679045092837,0.8061486141901373,0.8956639566395663,0.75,0.7058823529411765,0.8,0.8477351916376307
leave_one_out,minus_orientation,orientation,2,20,"previous_visit_month, previous_visit_season, latitude, longitude, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.0816462571597866,0.2418478260869565,0.810705153629987,0.8609802263299907,0.7015706806282722,0.6568627450980392,0.7528089887640449,0.813680480045105
leave_one_out,minus_orientation,orientation,3,20,"previous_visit_month, previous_visit_season, latitude, longitude, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.08086093914398546,0.2493368700265252,0.7956906117330836,0.9033155401849484,0.7378640776699029,0.6785714285714286,0.8085106382978723,0.8406510788662507
leave_one_out,minus_orientation,orientation,4,20,"previous_visit_month, previous_visit_season, latitude, longitude, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.08965532467628037,0.20911528150134048,0.7829092372908995,0.8743589743589745,0.6927374301675978,0.6138613861386139,0.7948717948717948,0.8313342025206432
leave_one_out,minus_orientation,orientation,5,20,"previous_visit_month, previous_visit_season, latitude, longitude, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.083669936526255,0.23513513513513515,0.8173614926110473,0.9075992039316031,0.743455497382199,0.6826923076923077,0.8160919540229885,0.8497420900856991
leave_one_out,minus_wind_direction_previous,wind_direction_previous,1,20,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.081999739786625,0.23872679045092837,0.779683221853223,0.8967479674796749,0.7526881720430108,0.7291666666666666,0.7777777777777778,0.8435927216415021
leave_one_out,minus_wind_direction_previous,wind_direction_previous,2,20,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.0816462571597866,0.2418478260869565,0.8097419876436563,0.8644839112399824,0.7301587301587301,0.69,0.7752808988764045,0.8320848938826466
leave_one_out,minus_wind_direction_previous,wind_direction_previous,3,20,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.08086093914398546,0.2493368700265252,0.7933943343948999,0.903127584392151,0.7236180904522613,0.6857142857142857,0.7659574468085106,0.8246748364784602
