scope,split_id,feature_set,model,n_features,rows_test,top25_threshold_train,positive_rate_test,average_precision,roc_auc,f1,precision,recall,balanced_accuracy
broad,5,base_11_plus_demographics,logistic_balanced,17,556,0.1330998248686515,0.24820143884892087,0.47525159772556025,0.7711150405658413,0.5352941176470588,0.4504950495049505,0.6594202898550725,0.6969350253103114
broad,5,base_11_plus_demographics,random_forest_balanced,17,556,0.1330998248686515,0.24820143884892087,0.5802000483666561,0.8129463976145898,0.5496688741721855,0.5060975609756098,0.6014492753623188,0.7038346855280494
broad,5,base_11_plus_demographics,extra_trees_balanced,17,556,0.1330998248686515,0.24820143884892087,0.5719662099520827,0.8082483877678386,0.601823708206687,0.518324607329843,0.717391304347826,0.7486478052839609
broad,1,base_11_plus_repollution_core,baseline_all_negative,13,540,0.147982062780269,0.21481481481481482,0.21481481481481482,0.5,0.0,0.0,0.0,0.5
broad,1,base_11_plus_repollution_core,logistic_balanced,13,540,0.147982062780269,0.21481481481481482,0.7378518703273345,0.8549731620039037,0.6666666666666666,0.5844155844155844,0.7758620689655172,0.8124593363695511
broad,1,base_11_plus_repollution_core,random_forest_balanced,13,540,0.147982062780269,0.21481481481481482,0.7202196760078754,0.8700492029928433,0.6434108527131783,0.5845070422535211,0.7155172413793104,0.788183148991542
broad,1,base_11_plus_repollution_core,extra_trees_balanced,13,540,0.147982062780269,0.21481481481481482,0.6290766441739037,0.8383010735198438,0.6171875,0.5642857142857143,0.6810344827586207,0.7685832791151594
broad,2,base_11_plus_repollution_core,baseline_all_negative,13,552,0.1251448435689455,0.2717391304347826,0.2717391304347826,0.5,0.0,0.0,0.0,0.5
broad,2,base_11_plus_repollution_core,logistic_balanced,13,552,0.1251448435689455,0.2717391304347826,0.7387981035302494,0.8699170812603648,0.6930091185410334,0.6368715083798883,0.76,0.7991542288557214
broad,2,base_11_plus_repollution_core,random_forest_balanced,13,552,0.1251448435689455,0.2717391304347826,0.7018013903788717,0.8653150912106136,0.6786786786786787,0.6174863387978142,0.7533333333333333,0.7896019900497513
broad,2,base_11_plus_repollution_core,extra_trees_balanced,13,552,0.1251448435689455,0.2717391304347826,0.6420221920439024,0.839933665008292,0.6428571428571429,0.5806451612903226,0.72,0.7629850746268656
broad,3,base_11_plus_repollution_core,baseline_all_negative,13,549,0.13756187540861115,0.22768670309653916,0.22768670309653916,0.5,0.0,0.0,0.0,0.5
broad,3,base_11_plus_repollution_core,logistic_balanced,13,549,0.13756187540861115,0.22768670309653916,0.7441821822834878,0.8619811320754717,0.636986301369863,0.5568862275449101,0.744,0.7847358490566038
broad,3,base_11_plus_repollution_core,random_forest_balanced,13,549,0.13756187540861115,0.22768670309653916,0.6912386315016649,0.8628584905660377,0.6431095406360424,0.5759493670886076,0.728,0.7849905660377359
broad,3,base_11_plus_repollution_core,extra_trees_balanced,13,549,0.13756187540861115,0.22768670309653916,0.6159298116048255,0.8347169811320754,0.6237288135593221,0.5411764705882353,0.736,0.7760188679245283
broad,4,base_11_plus_repollution_core,baseline_all_negative,13,537,0.147711928972301,0.21601489757914338,0.21601489757914338,0.5,0.0,0.0,0.0,0.5
broad,4,base_11_plus_repollution_core,logistic_balanced,13,537,0.147711928972301,0.21601489757914338,0.7719386030907118,0.912523548202146,0.708029197080292,0.6139240506329114,0.8362068965517241,0.8456568924563845
broad,4,base_11_plus_repollution_core,random_forest_balanced,13,537,0.147711928972301,0.21601489757914338,0.7411277420161635,0.9037902367106233,0.6618705035971223,0.5679012345679012,0.7931034482758621,0.8134163322139405
broad,4,base_11_plus_repollution_core,extra_trees_balanced,13,537,0.147711928972301,0.21601489757914338,0.6636464490599673,0.8789417642722581,0.6571428571428571,0.5609756097560976,0.7931034482758621,0.8110410353018265
broad,5,base_11_plus_repollution_core,baseline_all_negative,13,556,0.1330998248686515,0.24820143884892087,0.24820143884892087,0.5,0.0,0.0,0.0,0.5
