index,model,selected_fraction,selected_rows_mean,selected_rows_std,precision_in_selected_mean,precision_in_selected_std,recall_of_true_top25_mean,recall_of_true_top25_std,f1_selected_mean,f1_selected_std,baseline_positive_rate_test_mean,baseline_positive_rate_test_std
41,logistic_C1_l2_balanced,0.15,56.4,0.547722557505166,0.8864661654135337,0.0241437512826914,0.5722658770898361,0.0300010628175565,0.6949831040901866,0.0215184997408071,0.2348323806401771,0.0152988885490945
42,logistic_C1_l2_balanced,0.2,75.0,1.0000000000000004,0.8053788525367473,0.0379696793137274,0.6904018264318988,0.0197104207351102,0.7428178238700978,0.0147588161073803,0.2348323806401771,0.0152988885490945
43,logistic_C1_l2_balanced,0.25,93.8,1.3038404810405295,0.7184956759419662,0.0480668990314201,0.7693822729489261,0.0109954880137009,0.7423988368611265,0.0278186655153504,0.2348323806401771,0.0152988885490945
44,logistic_C1_l2_balanced,0.3,112.4,1.516575088810311,0.6280210661789609,0.0436158741266053,0.8057442898109966,0.0132268080360579,0.7053111779861005,0.0313363748149275,0.2348323806401771,0.0152988885490945
45,logistic_C1_l2_unweighted,0.1,37.6,0.5477225575051667,0.9150782361308676,0.0391716947782811,0.3944950788488259,0.0360152210496306,0.5508019823613539,0.0391702306837457,0.2348323806401771,0.0152988885490945
46,logistic_C1_l2_unweighted,0.15,56.4,0.547722557505166,0.8901629072681704,0.0420182745048583,0.5748037905380845,0.0393745868595688,0.6979995350216667,0.0367278341570817,0.2348323806401771,0.0152988885490945
47,logistic_C1_l2_unweighted,0.2,75.0,1.0000000000000004,0.8134869606448554,0.0490371685914647,0.6971004963813293,0.0252467025056275,0.7501535740021638,0.0274281622631096,0.2348323806401771,0.0152988885490945
48,logistic_C1_l2_unweighted,0.25,93.8,1.3038404810405295,0.7207835133475419,0.0487521108853615,0.7718256237494204,0.0138795590023332,0.7447623843075469,0.0291367335546689,0.2348323806401771,0.0152988885490945
49,logistic_C1_l2_unweighted,0.3,112.4,1.516575088810311,0.6298541963015648,0.0412619553189033,0.8083850207275896,0.0189462970806159,0.7074758588504718,0.0297355801203364,0.2348323806401771,0.0152988885490945
50,logistic_C3_l2_balanced,0.1,37.6,0.5477225575051667,0.9098150782361308,0.0478208755265798,0.3923674192743578,0.0393795391773494,0.5477716793310508,0.0443292697529827,0.2348323806401771,0.0152988885490945
51,logistic_C3_l2_balanced,0.15,56.4,0.547722557505166,0.8900375939849624,0.0266327581114751,0.574418505453318,0.0272772765919881,0.6976696429669842,0.018662899265801,0.2348323806401771,0.0152988885490945
52,logistic_C3_l2_balanced,0.2,75.0,1.0000000000000004,0.8054148885727834,0.0444312660618162,0.6902827966537398,0.0233761066025159,0.7427750985321944,0.0237769681539148,0.2348323806401771,0.0152988885490945
53,logistic_C3_l2_balanced,0.25,93.8,1.3038404810405295,0.7206686099929481,0.0420509821616896,0.7721175665132732,0.0156490135180797,0.7448302383622953,0.0226499727742155,0.2348323806401771,0.0152988885490945
54,logistic_C3_l2_balanced,0.3,112.4,1.516575088810311,0.6261718485402696,0.0427579181646572,0.8034204704472702,0.0122926234379364,0.703251760279624,0.0303256089353174,0.2348323806401771,0.0152988885490945
55,random_forest_depth4_leaf5,0.1,37.6,0.5477225575051667,0.845945945945946,0.0279091645960168,0.3641050681681478,0.0215056922367668,0.5086281534557398,0.0200829362720983,0.2348323806401771,0.0152988885490945
56,random_forest_depth4_leaf5,0.15,56.4,0.547722557505166,0.7980576441102757,0.0486858636014075,0.5149036896497472,0.0334670597657692,0.6254675596346714,0.0348542956659957,0.2348323806401771,0.0152988885490945
57,random_forest_depth4_leaf5,0.2,75.0,1.0000000000000004,0.7067349454717876,0.0641633779720601,0.6045386463489294,0.0246332609505394,0.6511030781604158,0.0400590557812943,0.2348323806401771,0.0152988885490945
58,random_forest_depth4_leaf5,0.25,93.8,1.3038404810405295,0.6356640160575711,0.0481831272625992,0.6808546473068718,0.0312357905963895,0.6568947251614603,0.0360381862066779,0.2348323806401771,0.0152988885490945
59,random_forest_depth4_leaf5,0.3,112.4,1.516575088810311,0.6085500914448283,0.0521561808738257,0.7801822866740802,0.0272629214508161,0.683235844994359,0.0427139066293833,0.2348323806401771,0.0152988885490945
60,xgboost_small_regularized,0.1,37.6,0.5477225575051667,0.872688477951636,0.046641676811136,0.3752481825620226,0.0195603227211942,0.5243584692868619,0.0212902065030254,0.2348323806401771,0.0152988885490945
61,xgboost_small_regularized,0.15,56.4,0.547722557505166,0.843796992481203,0.0392740206361698,0.5441926512791343,0.0227308709178175,0.6611534362389456,0.0209204501339254,0.2348323806401771,0.0152988885490945
62,xgboost_small_regularized,0.2,75.0,1.0000000000000004,0.7839374110953059,0.0637777397230014,0.6707276649715256,0.017662181943175,0.7223187253543111,0.0363691343749763,0.2348323806401771,0.0152988885490945
63,xgboost_small_regularized,0.25,93.8,1.3038404810405295,0.7036473491029653,0.0654534957800873,0.7523309081098821,0.0224159183826539,0.7265376872623436,0.0459917768190666,0.2348323806401771,0.0152988885490945
64,xgboost_small_regularized,0.3,112.4,1.516575088810311,0.6190603197182145,0.0584517635756381,0.7933684748007087,0.0332915881176198,0.6949199737311192,0.0490811684359745,0.2348323806401771,0.0152988885490945
