site_id,canonical_site_id,region,beach_name,beaches,previous_visit_start_date,previous_visit_end_date,next_visit_start_date,next_visit_end_date,site_confidence,match_quality,site_review_reason,repollution_kg_per_day,previous_total_weight,days_between_visits,repollution_risk_score,actual_top25_training_label,priority_rank,priority_percentile,priority_band
432,432,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΚΑΜΑΡΌΛΑ,ΡΈΘΥΜΝΟ ΠΑΡΑΛΊΑ 370,2019-12-08,2019-12-08,2023-03-30,2023-03-30,high,canonical_high,ok,0.2144039735099338,57.0,1208,0.07487798614745919,1,908,0.6057371581054036,below_top_30_percent
1958,1958,ΧΕΡΣΟΝΗΣΟΣ ΑΘΩΣ,,ΧΕΡΣΌΝΗΣΟΣ ΆΘΩΣ ΠΑΡΑΛΊΑ 121 (2),2021-09-05,2021-09-05,2024-11-05,2024-11-05,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,0.0,123.0,1157,0.07484041733489265,0,909,0.6064042695130086,below_top_30_percent
268,268,ΚΡΗΤΗ,ΠΑΡΑΛΊΆ ΚΑΜΙΝΆΚΙ,ΗΡΆΚΛΕΙΟ ΠΑΡΑΛΊΑ 176,2019-11-06,2019-11-06,2023-02-10,2023-02-10,high,canonical_high,ok,0.0,8.0,1192,0.07475814862653891,0,910,0.6070713809206137,below_top_30_percent
24,24,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 12,2019-09-07,2019-09-07,2023-08-06,2023-08-06,high,canonical_high,multiple_regions,0.0146955913226032,22.0,1429,0.0743062652902027,0,911,0.6077384923282189,below_top_30_percent
1574,1574,ΑΝΤΙΨΑΡΑ,,ΑΝΤΊΨΑΡΑ ΠΑΡΑΛΊΑ 1,2020-12-06,2020-12-06,2025-08-15,2025-08-15,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,0.0,0.0,1713,0.07423721789324728,0,912,0.6084056037358239,below_top_30_percent
25,25,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 13,2019-09-07,2019-09-07,2023-08-06,2023-08-06,high,canonical_high,multiple_regions,0.086074177746676,22.0,1429,0.07403508474371091,1,913,0.609072715143429,below_top_30_percent
110,110,ΚΡΗΤΗ,,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 15,2019-10-14,2019-10-14,2023-04-09,2023-04-09,high,canonical_high,ok,0.03770620581304,20.0,1273,0.07395737437758701,0,914,0.609739826551034,below_top_30_percent
1448,1448,ΒΟΡΕΙΕΣ ΣΠΟΡΑΔΕΣ (ΚΥΡΑ ΠΑΝΑΓΙΑ - ΓΙΟΥΡΑ - ΨΑΘΟΥΡΑ),,ΚΥΡΆ ΠΑΝΑΓΙΆ ΠΑΡΑΛΊΑ 17,2020-08-27,2020-08-27,2025-09-16,2025-09-16,high,canonical_high,multiple_special_numbers; multiple_regions,0.0,55.0,1846,0.07386968842881572,0,915,0.6104069379586391,below_top_30_percent
4006,4006,ΙΟΣ,,ΊΟΣ ΠΑΡΑΛΊΑ 27 | ΊΟΣ ΠΑΡΑΛΊΑ 28,2023-01-07,2023-01-07,2024-05-23,2024-05-23,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,0.0,0.0,502,0.07367277954473773,0,916,0.6110740493662442,below_top_30_percent
4389,4389,ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΜΕΣΣΗΝΊΑ ΠΑΡΑΛΊΑ 165 | ΜΕΣΣΗΝΊΑ ΠΑΡΑΛΊΑ 166,2023-05-07,2023-05-07,2024-06-30,2024-06-30,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,0.0,0.0,420,0.07328102078909439,0,917,0.6117411607738492,below_top_30_percent
1601,1601,ΨΑΡΑ ,ΠΑΡΑΛΊΑ ΦΑΝΑΡΙΟΎ,ΨΑΡΆ ΠΑΡΑΛΊΑ 31 | ΨΑΡΆ ΠΑΡΑΛΊΑ 39,2020-12-16,2020-12-17,2025-08-16,2025-08-16,high,canonical_high,multiple_special_numbers; multiple_regions,0.0,0.0,1703,0.07295429366744856,0,918,0.6124082721814543,below_top_30_percent
