site_id,canonical_site_id,region,beach_name,beaches,previous_visit_start_date,previous_visit_end_date,next_visit_start_date,next_visit_end_date,site_confidence,match_quality,site_review_reason,repollution_kg_per_day,previous_total_weight,days_between_visits,target_top25
22,22,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,ΠΑΡΑΛΊΑ ΣΑΡΑΝΤΟΚΟΎΠΙ,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 10,2019-09-06,2019-09-06,2023-08-05,2023-08-05,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,0.0412876137158852,210.0,1429,0
23,23,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 11,2019-09-06,2019-09-06,2023-08-02,2023-08-05,high,canonical_high,multiple_special_numbers; multiple_regions,0.0610098176718092,217.0,1426,0
24,24,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 12,2019-09-07,2019-09-07,2023-08-06,2023-08-06,high,canonical_high,multiple_regions,0.0146955913226032,22.0,1429,0
25,25,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 13,2019-09-07,2019-09-07,2023-08-06,2023-08-06,high,canonical_high,multiple_regions,0.086074177746676,22.0,1429,1
26,26,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 14 (1) | ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 14 (2),2019-09-07,2019-09-08,2023-08-06,2023-08-08,high,canonical_high,multiple_regions,0.17296918767507,1094.0,1428,1
29,29,ΣΕΡΙΦΟΣ,ΠΑΡΑΛΊΑ ΑΥΛΩΝΊΤΙΚΟ,ΣΈΡΙΦΟΣ ΠΑΡΑΛΊΑ 1,2019-09-16,2019-09-16,2024-04-26,2024-04-26,high,canonical_high,multiple_special_numbers,0.0,85.0,1684,0
30,30,ΣΕΡΙΦΟΣ,ΠΑΡΑΛΊΑ ΚΑΛΌ ΑΜΠΈΛΙ,ΣΈΡΙΦΟΣ ΠΑΡΑΛΊΑ 2,2019-09-16,2019-09-16,2024-04-26,2024-04-26,high,canonical_high,multiple_special_numbers,0.0961995249406175,82.0,1684,1
31,31,ΣΕΡΙΦΟΣ,ΠΑΡΑΛΊΑ ΚΑΛΌΓΕΡΟΣ,ΣΈΡΙΦΟΣ ΠΑΡΑΛΊΑ 3,2019-09-16,2019-09-16,2024-04-26,2024-04-26,high,canonical_high,multiple_special_numbers,0.0629453681710213,235.0,1684,0
33,33,ΣΕΡΙΦΟΣ,,ΣΈΡΙΦΟΣ ΠΑΡΑΛΊΑ 5,2019-09-17,2019-09-17,2024-04-25,2024-04-25,high,canonical_high,ok,0.0915576694411414,387.0,1682,1
34,34,ΣΕΡΙΦΟΣ,ΠΑΡΑΛΊΑ ΣΚΆΛΑ,ΣΈΡΙΦΟΣ ΠΑΡΑΛΊΑ 6,2019-09-17,2019-09-17,2024-04-24,2024-04-24,high,canonical_high,ok,0.1201665675193337,0.0,1681,1
35,35,ΣΕΡΙΦΟΣ,ΠΑΡΑΛΊΑ ΒΟΡΕΙΝΌ,ΣΈΡΙΦΟΣ ΠΑΡΑΛΊΑ 7,2019-09-17,2019-09-17,2024-04-24,2024-04-24,high,canonical_high,ok,0.0,35.0,1681,0
39,39,ΚΙΜΩΛΟΣ,,ΚΊΜΩΛΟΣ ΠΑΡΑΛΊΑ 2,2019-09-18,2019-09-18,2024-05-04,2024-05-04,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,0.0195266272189349,0.0,1690,0
40,40,ΚΙΜΩΛΟΣ,,ΚΊΜΩΛΟΣ ΠΑΡΑΛΊΑ 3,2019-09-18,2019-09-18,2024-05-04,2024-05-04,high,canonical_high,multiple_special_numbers,0.0,3.0,1690,0
43,43,ΚΙΜΩΛΟΣ,ΠΑΡΑΛΊΑ ΣΟΎΦΙ,ΚΊΜΩΛΟΣ ΠΑΡΑΛΊΑ 7,2019-09-18,2019-09-18,2024-05-07,2024-05-07,high,canonical_high,multiple_special_numbers,0.0,0.0,1693,0
48,48,ΗΡΑΚΛΕΙΑ,,ΗΡΑΚΛΕΙΆ ΠΑΡΑΛΊΑ 1,2019-09-20,2019-09-20,2024-05-26,2024-05-26,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,0.0,205.0,1710,0
50,50,ΗΡΑΚΛΕΙΑ,ΠΑΡΑΛΊΑ ΑΛΙΜΙΆΣ,ΗΡΑΚΛΕΙΆ ΠΑΡΑΛΊΑ 3,2019-09-20,2019-09-20,2022-12-21,2022-12-21,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,0.0,100.0,1188,0
50,50,ΗΡΑΚΛΕΙΑ,ΠΑΡΑΛΊΑ ΑΛΙΜΙΆΣ,ΗΡΑΚΛΕΙΆ ΠΑΡΑΛΊΑ 1,2022-12-21,2022-12-21,2024-05-24,2024-05-24,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,0.0,0.0,520,0
52,52,ΗΡΑΚΛΕΙΑ,ΠΑΡΑΛΊΑ ΒΟΡΕΙΝΉ,ΗΡΑΚΛΕΙΆ ΠΑΡΑΛΊΑ 5,2019-09-20,2019-09-20,2024-05-26,2024-05-26,high,canonical_high,multiple_special_numbers,0.1596491228070175,158.0,1710,1
53,53,ΗΡΑΚΛΕΙΑ,,ΗΡΑΚΛΕΙΆ ΠΑΡΑΛΊΑ 6,2019-09-21,2019-09-21,2022-12-21,2022-12-21,high,canonical_high,multiple_special_numbers,0.0,0.0,1187,0
53,53,ΗΡΑΚΛΕΙΑ,,ΗΡΑΚΛΕΙΆ ΠΑΡΑΛΊΑ 6,2022-12-21,2022-12-21,2024-05-24,2024-05-24,high,canonical_high,multiple_special_numbers,0.0,0.0,520,0
54,54,ΗΡΑΚΛΕΙΑ,,ΗΡΑΚΛΕΙΆ ΠΑΡΑΛΊΑ 7,2019-09-21,2019-09-21,2022-12-21,2022-12-21,high,canonical_high,multiple_special_numbers,0.0,0.0,1187,0
54,54,ΗΡΑΚΛΕΙΑ,,ΗΡΑΚΛΕΙΆ ΠΑΡΑΛΊΑ 5,2022-12-21,2022-12-21,2024-05-24,2024-05-24,high,canonical_high,multiple_special_numbers,0.0,0.0,520,0
55,55,ΣΧΟΙΝΟΥΣΑ - ΟΦΕΙΔΟΥΣΣΑ,ΠΑΡΑΛΊΑ ΦΕΙΔΟΎΣΑΣ,ΣΧΟΙΝΟΎΣΣΑ ΠΑΡΑΛΊΑ 1 | ΣΧΟΙΝΟΎΣΣΑ ΠΑΡΑΛΊΑ 2,2019-09-22,2019-09-22,2022-12-21,2022-12-21,medium,canonical_medium,multiple_special_numbers; multiple_regions; many_name_variants,0.0,0.0,1186,0
55,55,ΣΧΟΙΝΟΥΣΑ,ΠΑΡΑΛΊΑ ΦΕΙΔΟΎΣΑΣ,ΣΧΟΙΝΟΎΣΣΑ ΠΑΡΑΛΊΑ 13 | ΣΧΟΙΝΟΎΣΣΑ ΠΑΡΑΛΊΑ 14,2022-12-21,2022-12-21,2024-05-25,2024-05-25,medium,canonical_medium,multiple_special_numbers; multiple_regions; many_name_variants,0.0,0.0,521,0
61,61,ΣΧΟΙΝΟΥΣΑ - ΟΦΕΙΔΟΥΣΣΑ,ΠΑΡΑΛΊΑ ΓΕΡΟΛΙΜΝΙΏΝΑΣ,ΣΧΟΙΝΟΎΣΣΑ ΠΑΡΑΛΊΑ 11,2019-09-23,2019-09-23,2024-05-25,2024-05-25,high,canonical_high,multiple_special_numbers; multiple_regions,0.070926143024619,226.0,1706,0
63,63,ΑΝΩ - ΚΑΤΩ ΚΟΥΦΟΝΗΣΙ,ΠΑΡΑΛΊΑ ΔΈΤΗΣ,ΚΆΤΩ ΚΟΥΦΟΝΉΣΙ ΠΑΡΑΛΊΑ 2,2019-09-24,2019-09-24,2024-05-27,2024-05-27,high,canonical_high,multiple_regions,0.0,10.0,1707,0
64,64,ΑΝΩ - ΚΑΤΩ ΚΟΥΦΟΝΗΣΙ,ΠΑΡΑΛΊΑ ΝΕΡΌ,ΚΆΤΩ ΚΟΥΦΟΝΉΣΙ ΠΑΡΑΛΊΑ 3,2019-09-24,2019-09-24,2024-05-27,2024-05-27,high,canonical_high,multiple_regions,0.0,0.0,1707,0
66,66,ΑΝΩ - ΚΑΤΩ ΚΟΥΦΟΝΗΣΙ,ΠΑΡΑΛΊΑ ΠΟΡΊ,ΆΝΩ ΚΟΥΦΟΝΉΣΙ ΠΑΡΑΛΊΑ 6,2019-09-25,2019-09-25,2024-05-30,2024-05-30,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,0.1462843768285547,19.0,1709,1
68,68,ΔΟΝΟΥΣΑ,ΠΑΡΑΛΊΑ ΦΎΚΙΟ,ΔΟΝΟΎΣΑ ΠΑΡΑΛΊΑ 2,2019-09-26,2019-09-26,2024-06-15,2024-06-15,high,canonical_high,multiple_special_numbers,0.0,0.0,1724,0
70,70,ΑΝΑΦΗ,,ΑΝΆΦΗ ΠΑΡΑΛΊΑ 1,2019-09-28,2019-09-28,2024-05-20,2024-05-21,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,0.0,0.0,1696,0
71,71,ΑΝΑΦΗ,ΠΑΡΑΛΊΑ ΠΡΑΣΙΈΣ,ΑΝΆΦΗ ΠΑΡΑΛΊΑ 2 | ΑΝΆΦΗ ΠΑΡΑΛΊΑ 3,2019-09-28,2019-09-28,2024-05-20,2024-05-20,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,0.0,0.0,1696,0
76,76,ΑΝΑΦΗ,,ΑΝΆΦΗ ΠΑΡΑΛΊΑ 9,2019-09-28,2019-09-28,2024-05-21,2024-05-21,high,canonical_high,multiple_special_numbers,0.0,20.0,1697,0
77,77,ΑΝΑΦΗ,,ΑΝΆΦΗ ΠΑΡΑΛΊΑ 10,2019-09-28,2019-09-28,2024-05-31,2024-05-31,high,canonical_high,multiple_special_numbers,0.0,0.0,1707,0
78,78,ΑΝΑΦΗ,ΠΑΡΑΛΊΑ ΛΙΒΌΣΚΟΠΟΣ,ΑΝΆΦΗ ΠΑΡΑΛΊΑ 11,2019-09-28,2019-09-28,2024-05-31,2024-05-31,high,canonical_high,multiple_special_numbers,0.0,35.0,1707,0
79,79,ΑΜΟΡΓΟΣ,ΠΑΡΑΛΊΑ ΜΟΝΑΣΤΉΡΙ,ΑΜΟΡΓΌΣ ΠΑΡΑΛΊΑ 1,2019-09-30,2019-09-30,2024-06-03,2024-06-03,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,0.0,0.0,1708,0
84,84,ΑΜΟΡΓΟΣ,,ΑΜΟΡΓΌΣ ΠΑΡΑΛΊΑ 6,2019-09-30,2019-09-30,2024-06-02,2024-06-02,high,canonical_high,multiple_special_numbers,0.0,0.0,1707,0
86,86,ΑΜΟΡΓΟΣ,ΠΑΡΑΛΊΑ ΚΆΤΩ ΚΆΜΠΟΣ,ΑΜΟΡΓΌΣ ΠΑΡΑΛΊΑ 8,2019-10-01,2019-10-01,2024-06-01,2024-06-01,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,0.0,871.0,1705,0
88,88,ΑΜΟΡΓΟΣ,,ΑΜΟΡΓΌΣ ΠΑΡΑΛΊΑ 10,2019-10-01,2019-10-01,2024-06-02,2024-06-02,high,canonical_high,ok,0.0281359906213364,220.0,1706,0
89,89,ΣΙΚΙΝΟΣ,ΠΑΡΑΛΊΑ ΜΆΛΤΑ,ΣΊΚΙΝΟΣ ΠΑΡΑΛΊΑ 1,2019-10-02,2019-10-02,2024-05-14,2024-05-14,high,canonical_high,multiple_special_numbers,0.0658362989323843,124.0,1686,0
92,92,ΦΟΛΕΓΑΝΔΡΟΣ,ΠΑΡΑΛΊΑ ΛΙΒΑΔΆΚΙ,ΦΟΛΈΓΑΝΔΡΟΣ ΠΑΡΑΛΊΑ 2,2019-10-03,2019-10-03,2024-05-13,2024-05-13,high,canonical_high,multiple_special_numbers,0.0362232779097387,0.0,1684,0
93,93,ΦΟΛΕΓΑΝΔΡΟΣ,ΠΑΡΑΛΊΑ ΆΓΙΟΣ ΝΙΚΌΛΑΟΣ,ΦΟΛΈΓΑΝΔΡΟΣ ΠΑΡΑΛΊΑ 3,2019-10-03,2019-10-03,2024-05-13,2024-05-13,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,0.0,0.0,1684,0
95,95,ΦΟΛΕΓΑΝΔΡΟΣ,ΠΑΡΑΛΊΑ ΚΆΤΕΡΓΟ,ΦΟΛΈΓΑΝΔΡΟΣ ΠΑΡΑΛΊΑ 7,2019-10-03,2019-10-03,2024-05-13,2024-05-13,high,canonical_high,multiple_special_numbers,0.0,0.0,1684,0
97,97,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΚΕΡΆΣ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 2,2019-10-11,2019-10-11,2023-04-03,2023-04-03,high,canonical_high,ok,0.0566929133858267,55.0,1270,0
98,98,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΚΑΛΥΒΙΑΝΉ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 3,2019-10-12,2019-10-12,2023-04-16,2023-04-16,high,canonical_high,ok,0.0686427457098284,235.0,1282,0
104,104,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΆΓΙΟΣ ΠΑΎΛΟΣ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 9,2019-10-13,2019-10-13,2023-04-08,2023-04-10,high,canonical_high,ok,0.4886095836606441,0.0,1273,1
108,108,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΓΡΑΜΒΟΎΣΑ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 13,2019-10-14,2019-10-14,2023-04-09,2023-04-09,high,canonical_high,multiple_special_numbers,0.0,0.0,1273,0
110,110,ΚΡΗΤΗ,,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 15,2019-10-14,2019-10-14,2023-04-09,2023-04-09,high,canonical_high,ok,0.03770620581304,20.0,1273,0
124,124,ΚΡΗΤΗ,,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 29,2019-10-19,2019-10-19,2023-02-16,2023-02-16,high,canonical_high,ok,0.0,29.0,1216,0
126,126,ΚΡΗΤΗ,,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 31,2019-10-19,2019-10-19,2023-02-16,2023-02-16,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,0.0,20.0,1216,0
131,131,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΚΕΔΡΟΔΆΣΟΣ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 36,2019-10-19,2019-10-19,2023-02-16,2023-02-16,high,canonical_high,multiple_special_numbers,0.0,0.0,1216,0
132,132,ΚΡΗΤΗ,,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 37,2019-10-19,2019-10-19,2023-02-16,2023-02-16,high,canonical_high,multiple_special_numbers,0.09375,48.0,1216,1
133,133,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΛΆΚΚΟΣ | ΠΑΡΑΛΊΑ ΚΌΚΚΙΝΟ ΑΜΜΟΥΤΣΑΚΙ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 38 | ΧΑΝΙΆ ΠΑΡΑΛΊΑ 39,2019-10-19,2019-10-19,2023-02-16,2023-02-16,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,0.0,99.0,1216,0
134,134,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΒΙΈΝΝΑ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 40,2019-10-20,2019-10-20,2023-02-16,2023-02-16,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,0.0,17.0,1215,0
135,135,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΚΡΙΌΣ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 41,2019-10-20,2019-10-20,2023-02-16,2023-02-16,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,0.0,172.0,1215,0
149,149,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΛΙΣΣΌΣ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 55,2019-10-26,2019-10-26,2023-02-15,2023-02-15,high,canonical_high,multiple_special_numbers,0.0,0.0,1208,0
152,152,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΣΕΝΤΌΝΙ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 58,2019-10-26,2019-10-26,2023-02-15,2023-02-15,high,canonical_high,ok,0.0,45.0,1208,0
153,153,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΝΤΟΜΑΤΑ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 59,2019-10-26,2019-10-26,2023-02-15,2023-02-15,high,canonical_high,multiple_special_numbers,0.0,0.0,1208,0
154,154,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΦΟΥΡΝΩΤΉ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 60,2019-10-27,2019-10-27,2023-02-15,2023-02-15,high,canonical_high,multiple_special_numbers,0.0,0.0,1207,0
155,155,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΚΑΛΌΓΕΡΟΣ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 61,2019-10-27,2019-10-27,2023-02-15,2023-02-15,high,canonical_high,multiple_special_numbers,0.0,0.0,1207,0
157,157,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΖΕΡΟΜΟΎΡΙ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 63,2019-10-27,2019-10-27,2023-02-15,2023-02-15,medium,canonical_medium,coordinate_spread_100_250m,0.0,30.0,1207,0
160,160,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΆΓΙΟΣ ΠΑΎΛΟΣ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 66,2019-10-27,2019-10-27,2023-02-13,2023-02-13,high,canonical_high,ok,0.4589211618257261,391.0,1205,1
163,163,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΠΕΡΙΒΟΛΆΚΙΑ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 69,2019-10-28,2019-10-28,2023-02-13,2023-02-13,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,0.0,0.0,1204,0
164,164,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΓΛΥΚΆ ΝΕΡΆ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 70,2019-10-28,2019-10-28,2023-02-13,2023-02-13,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,0.0,0.0,1204,0
166,166,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΑΜΜΟΎΔΙ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 72,2019-10-28,2019-10-28,2023-02-13,2023-02-13,high,canonical_high,ok,0.0,16.0,1204,0
167,167,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΑΓΊΟΥ ΧΑΡΑΛΆΜΠΟΥΣ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 73,2019-10-28,2019-10-28,2023-02-13,2023-02-13,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,0.0,0.0,1204,0
168,168,ΚΡΗΤΗ,,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 74,2019-10-28,2019-10-28,2023-02-14,2023-02-14,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,0.0,11.0,1205,0
174,174,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΣΑΡΑΚΉΝΙΚΟ,ΓΑΎΔΟΣ ΠΑΡΑΛΊΑ 80,2019-10-29,2019-10-29,2023-02-17,2023-02-17,medium,canonical_medium,coordinate_spread_100_250m,0.0,117.0,1207,0
175,175,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΆΓΙΟΣ ΙΩΆΝΝΗΣ,ΓΑΎΔΟΣ ΠΑΡΑΛΊΑ 81,2019-10-29,2019-10-29,2023-02-17,2023-02-17,high,canonical_high,multiple_special_numbers,0.0,0.0,1207,0
178,178,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΠΎΡΓΟΣ,ΓΑΎΔΟΣ ΠΑΡΑΛΊΑ 84,2019-10-29,2019-10-29,2023-04-21,2023-04-21,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,0.052755905511811,0.0,1270,0
179,179,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΠΟΤΑΜΌΣ,ΓΑΎΔΟΣ ΠΑΡΑΛΊΑ 85,2019-10-29,2019-10-29,2023-04-21,2023-04-21,high,canonical_high,ok,0.0,9.0,1270,0
180,180,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΝΤΑΪΆΝΑ,ΓΑΎΔΟΣ ΠΑΡΑΛΊΑ 86,2019-10-29,2019-10-29,2023-04-21,2023-04-21,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,0.0,0.0,1270,0
