site_id,canonical_site_id,region,beach_name,beaches,previous_visit_start_date,previous_visit_end_date,next_visit_start_date,next_visit_end_date,site_confidence,match_quality,site_review_reason,canonical_max_coordinate_spread_m,demographic_coordinate_source,is_strong_or_probable_match,has_all_selected_demographics,is_recommended_for_initial_model,next_total_weight,repollution_kg_per_day,repollution_kg_per_30_days,repollution_kg_per_90_days,repollution_positive,log1p_repollution_kg_per_day,previous_total_weight,days_between_visits,previous_visit_month,previous_visit_season,latitude,longitude,coastline_cleaned,width_length,road_network,tourist_business,orientation,sediment,wind_direction_previous,wind_speed_previous,Pct_Age_15_34,Youth_Dependency,Avg_Household_Size,Unemployment_Rate,UrbanRural_Class,Daytime_Population_Pressure
10,10,ΔΟΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 2,2019-08-14,2019-08-14,2020-01-26,2020-01-26,medium,canonical_medium,multiple_regions,27.49193403572984,interval_coordinate,1,1,1,83.0,0.503030303030303,15.090909090909092,45.27272727272727,1,0.40748327226440156,312.0,165,8,Summer,37.338478,23.303542,46.0,298.0,0.0,0.0,North,Pebbles,E,2.0,0.1897984276495088,0.1751995830896101,2.370506321254478,16.9,Rural,0.0173765628311082
10,10,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 31,2020-01-26,2020-01-26,2023-06-08,2023-06-09,medium,canonical_medium,multiple_regions,27.49193403572984,interval_coordinate,1,1,1,44.0,0.0358014646053702,1.0740439381611064,3.2221318144833195,1,0.03517548899137168,83.0,1229,1,Winter,37.338606,23.303336,53.0,399.0,0.0,0.0,North,Pebbles,Calm,0.0,0.188966786119963,0.1746962210790897,2.370506321254478,14.1,Rural,0.0170174341876779
10,10,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 127 (1) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 127 (2),2023-06-08,2023-06-09,2025-10-14,2025-10-14,medium,canonical_medium,multiple_regions,27.49193403572984,interval_coordinate,1,1,1,81.0,0.0944055944055944,2.832167832167832,8.496503496503497,1,0.09021137972030062,44.0,858,6,Summer,37.338639,23.303333,50.0,396.0,0.0,0.0,North,Pebbles,E,2.0,0.1814802778396368,0.1697304007248674,2.370506321254478,9.4,Rural,0.0127601099332548
11,11,ΔΟΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 3 (1) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 3 (2) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 4 | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 5 (1) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 5 (2),2019-08-16,2019-08-20,2023-05-27,2023-05-27,review,canonical_review,coordinate_spread_250_500m; multiple_special_numbers; multiple_regions,358.59220318349145,interval_coordinate,0,1,0,42.0,0.0305232558139534,0.9156976744186046,2.7470930232558137,1,0.030066688598783753,3100.0,1376,8,Summer,37.334614,23.334371333333333,160.0,819.0,0.0,0.0,North,Pebbles,E,2.0,0.1897407084924146,0.1681725146780045,2.370506321254478,16.9,Rural,0.0173765628311082
11,11,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 43 (1),2023-05-27,2023-05-27,2023-06-05,2023-06-07,review,canonical_review,coordinate_spread_250_500m; multiple_special_numbers; multiple_regions,358.59220318349145,interval_coordinate,0,1,0,116.0,12.88888888888889,386.6666666666667,1160.0,1,2.631089159966082,42.0,9,5,Spring,37.334861,23.336,47.0,,0.0,0.0,North,Pebbles,N,5.0,0.1812720901869147,0.1628426873471024,2.370506321254478,9.4,Rural,0.0127601099332548
11,11,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 43 (2) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 116 (1) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 116 (2) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 115,2023-06-05,2023-06-07,2025-10-13,2025-10-13,review,canonical_review,coordinate_spread_250_500m; multiple_special_numbers; multiple_regions,358.59220318349145,interval_coordinate,0,1,0,0.0,0.0,0.0,0.0,0,0.0,116.0,859,6,Summer,37.33474066666667,23.334379666666667,91.0,725.0,0.0,0.0,North,Pebbles,N,5.0,0.1812720901869147,0.1628426873471024,2.370506321254478,9.4,Rural,0.0127601099332548
12,12,ΔΟΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 6,2019-08-21,2019-08-21,2023-06-08,2023-06-08,review,canonical_review,coordinate_spread_250_500m; multiple_special_numbers; multiple_regions,484.8392215507859,interval_coordinate,0,1,0,87.0,0.0627253064167267,1.8817591925018025,5.645277577505407,1,0.06083665243445028,121.0,1387,8,Summer,37.345981,23.320642,57.0,312.0,0.0,0.0,North,Pebbles,NE,3.0,0.1897408696329089,0.1681726561776654,2.370506321254478,16.9,Rural,0.0173765628311082
12,12,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 120 | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 119 | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 121 | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 122 | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 123,2023-06-08,2023-06-08,2025-10-14,2025-10-14,review,canonical_review,coordinate_spread_250_500m; multiple_special_numbers; multiple_regions,484.8392215507859,interval_coordinate,0,1,0,70.0,0.0814901047729918,2.4447031431897552,7.334109429569266,1,0.0783398168295831,87.0,859,6,Summer,37.3455278,23.3192164,52.0,675.0,0.0,0.0,North,Pebbles,N,5.0,0.1813992482597893,0.1670497610440307,2.370506321254478,9.4,Rural,0.0127601099332548
16,16,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 4,2019-08-30,2019-08-30,2025-11-03,2025-11-03,medium,canonical_medium,multiple_special_numbers; multiple_regions,14.23007307239252,interval_coordinate,1,1,1,0.0,0.0,0.0,0.0,0,0.0,243.0,2257,8,Summer,37.633028,23.339183,188.0,376.0,0.0,0.0,North,Pebbles,N,3.0,0.1651213766109964,0.2181358886486369,2.370506321254478,16.9,Rural,0.0173765628311082
16,16,ΜΕΘΑΝΑ,,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 34,2025-11-03,2025-11-03,2026-02-06,2026-02-06,medium,canonical_medium,multiple_special_numbers; multiple_regions,14.23007307239252,interval_coordinate,1,1,1,0.0,0.0,0.0,0.0,0,0.0,0.0,95,11,Fall,37.633111,23.339306,,,0.0,0.0,North,Mixed,NW,3.0,0.1550334737248986,0.1982603491966772,2.370506321254478,8.1,Rural,0.0161798035759254
