interval_id,canonical_site_id,Date,Latitude,Longitude,demographic_coordinate_source,Pct_Age_15_34,Pct_Age_65plus,OldAge_Dependency,Youth_Dependency,Avg_Household_Size,Pct_SinglePerson_HH,Pct_ForeignBorn,Unemployment_Rate,Daytime_Population_Pressure,Migration_Flows,UrbanRural_Class
230,454,2019-12-17,36.163636,22.952203,interval_coordinate,0.18085011855204497,0.2873396461365791,0.48915991726689956,0.21321517362445846,2.370506321254478,0.3234760863779753,0.11089524842721007,16.9,0.017376562831108288,241062.0,Rural
231,456,2019-12-18,36.174881,23.045378,interval_coordinate,0.18085014099761507,0.28733958430747725,0.4891599114262478,0.21321517102913512,2.370506321254478,0.3234760863779753,0.11089524842721007,16.9,0.017376562831108288,241062.0,Rural
232,457,2019-12-18,36.206947,23.049767,interval_coordinate,0.18085005740545393,0.2873395159808556,0.4891596504850485,0.21321485994569395,2.370506321254478,0.3234760863779753,0.11089524842721007,16.9,0.017376562831108288,241062.0,Rural
233,458,2019-12-18,36.209997,23.052542,interval_coordinate,0.18085002090911156,0.2873395284050192,0.48915968948411226,0.21321490227016124,2.370506321254478,0.3234760863779753,0.11089524842721007,16.9,0.017376562831108288,241062.0,Rural
234,469,2019-12-19,36.379397,22.944136,interval_coordinate,0.18084998602795885,0.28733955918126336,0.48915974315887867,0.21321543415948915,2.370506321254478,0.3234760863779753,0.11089524842721007,16.9,0.017376562831108288,241062.0,Rural
235,470,2019-12-19,36.254672,22.923039,interval_coordinate,0.18085017583822777,0.2873397468250577,0.4891598066913948,0.21321515164803417,2.370506321254478,0.3234760863779753,0.11089524842721007,16.9,0.017376562831108288,241062.0,Rural
236,475,2019-12-20,36.7671,21.931633,interval_coordinate,0.173501852073867,0.32831968921627996,0.5850121036784094,0.1968246769846963,2.370506321254478,0.3234760863779753,0.11089524842721007,12.0,0.014778153814578417,241062.0,Rural
237,478,2019-12-20,36.798597,21.766867,interval_coordinate,0.17350180976052004,0.3283197084120611,0.5850121924334101,0.19682469638973468,2.370506321254478,0.3234760863779753,0.11089524842721007,12.0,0.014778153814578417,241062.0,Rural
238,480,2019-12-21,36.807447,21.809117,interval_coordinate,0.1734960786522297,0.32832355615011005,0.5850231527313784,0.19682628537087482,2.370506321254478,0.3234760863779753,0.11089524842721007,12.0,0.014778153814578417,241062.0,Rural
239,482,2019-12-21,36.77205,21.837775,interval_coordinate,0.17350182848518933,0.32831968407280676,0.5850121021239254,0.19682462792554972,2.370506321254478,0.3234760863779753,0.11089524842721007,12.0,0.014778153814578417,241062.0,Rural
240,482,2023-05-07,36.771972,21.837722,interval_coordinate,0.1649440411979917,0.3467917707001003,0.6315773939843632,0.18962343357288258,2.370506321254478,0.3234760863779753,0.11089524842721007,9.6,0.00946969696969697,203366.0,Rural
241,485,2019-12-21,36.745919,21.905931,interval_coordinate,0.17350180844403054,0.3283196477045531,0.5850121413440276,0.1968247117373236,2.370506321254478,0.3234760863779753,0.11089524842721007,12.0,0.014778153814578417,241062.0,Rural
242,485,2023-05-06,36.740236,21.899749999999997,interval_coordinate,0.16494401630257366,0.3467917855600205,0.6315775193114327,0.18962332758282313,2.370506321254478,0.3234760863779753,0.11089524842721007,9.6,0.00946969696969697,203366.0,Rural
243,486,2019-12-21,36.754167,21.918936,interval_coordinate,0.17350184309930955,0.3283196552347826,0.5850121114928695,0.19682472876600454,2.370506321254478,0.3234760863779753,0.11089524842721007,12.0,0.014778153814578417,241062.0,Rural
244,489,2019-12-23,36.954139,21.934047,interval_coordinate,0.15455705756151028,0.3410037468143978,0.622156651214551,0.20232952447598435,2.370506321254478,0.3234760863779753,0.11089524842721007,12.0,0.014778153814578417,241062.0,Rural
245,493,2019-12-24,36.919731,21.9316,interval_coordinate,0.15455705363414746,0.3410037241330705,0.6221565775385186,0.2023295432892071,2.370506321254478,0.3234760863779753,0.11089524842721007,12.0,0.014778153814578417,241062.0,Rural
246,493,2023-05-04,36.9218475,21.932778,interval_coordinate,0.14674094051589398,0.35941500375271535,0.670110842956551,0.1943378216686051,2.370506321254478,0.3234760863779753,0.11089524842721007,9.6,0.00946969696969697,203366.0,Rural
247,508,2019-12-28,36.919631,22.131306,interval_coordinate,0.15653317633494168,0.3294186280261036,0.5941946163751565,0.2095728821158573,2.370506321254478,0.3234760863779753,0.11089524842721007,12.0,0.014778153814578417,241062.0,Rural
248,508,2023-05-02,36.919694,22.131222,interval_coordinate,0.149072641889304,0.34802197840370136,0.6414674249799217,0.2017132703735996,2.370506321254478,0.3234760863779753,0.11089524842721007,9.6,0.00946969696969697,203366.0,Rural
249,510,2019-12-28,36.877508,22.240081,interval_coordinate,0.1565331562345124,0.32941859936503304,0.5941945467434274,0.2095729375371113,2.370506321254478,0.3234760863779753,0.11089524842721007,12.0,0.014778153814578417,241062.0,Rural
250,510,2023-05-02,36.8778055,22.2393335,interval_coordinate,0.14907268066899731,0.34802197437864607,0.6414674827186958,0.20171347002265677,2.370506321254478,0.3234760863779753,0.11089524842721007,9.6,0.00946969696969697,203366.0,Rural
251,517,2019-12-30,36.817161,22.293503,interval_coordinate,0.15653315675578325,0.3294186009587875,0.594194509824326,0.20957288303267854,2.370506321254478,0.3234760863779753,0.11089524842721007,12.0,0.014778153814578417,241062.0,Rural
252,528,2019-12-31,36.462717,22.434572,interval_coordinate,0.18285229221625904,0.3117142297559754,0.5493006848208097,0.2128925447622791,2.370506321254478,0.3234760863779753,0.11089524842721007,12.0,0.014778153814578417,241062.0,Rural
253,529,2019-12-31,36.460057,22.442633,interval_coordinate,0.18285230617123963,0.3117142307589982,0.5493006460399659,0.2128925385091727,2.370506321254478,0.3234760863779753,0.11089524842721007,12.0,0.014778153814578417,241062.0,Rural
254,530,2019-12-31,36.454969,22.450233,interval_coordinate,0.18285229992572297,0.31171418883565516,0.549300597362369,0.2128925768138954,2.370506321254478,0.3234760863779753,0.11089524842721007,12.0,0.014778153814578417,241062.0,Rural
255,530,2023-05-01,36.454944,22.450194,interval_coordinate,0.17478395015222017,0.3300185541438611,0.5937712068436083,0.20543420500135812,2.370506321254478,0.3234760863779753,0.11089524842721007,9.6,0.00946969696969697,203366.0,Rural
256,532,2019-12-31,36.4515,22.458403,interval_coordinate,0.18285225096231952,0.3117141843487898,0.5493006414482962,0.21289255994696415,2.370506321254478,0.3234760863779753,0.11089524842721007,12.0,0.014778153814578417,241062.0,Rural
257,532,2023-05-01,36.4515,22.458389,interval_coordinate,0.17478397286936123,0.3300185279079487,0.5937711844140694,0.20543419278640723,2.370506321254478,0.3234760863779753,0.11089524842721007,9.6,0.00946969696969697,203366.0,Rural
258,534,2019-12-31,36.422981,22.473289,interval_coordinate,0.18285222049134994,0.3117142175557852,0.5493007866247358,0.2128927954008683,2.370506321254478,0.3234760863779753,0.11089524842721007,12.0,0.014778153814578417,241062.0,Rural
259,534,2023-04-30,36.423167,22.473417,interval_coordinate,0.17478401056801893,0.33001850018876805,0.5937708713021705,0.20543414467041654,2.370506321254478,0.3234760863779753,0.11089524842721007,9.6,0.00946969696969697,203366.0,Rural
260,535,2020-01-01,36.401867,22.485436,interval_coordinate,0.1820746859067164,0.31492505148518496,0.5571178418677855,0.2119309011100057,2.370506321254478,0.3234760863779753,0.11089524842721007,11.4,0.006776379477250726,179660.0,Rural
261,536,2020-01-01,36.4125,22.488864,interval_coordinate,0.18207466036081366,0.3149250390544438,0.5571178178292912,0.21193118252074206,2.370506321254478,0.3234760863779753,0.11089524842721007,11.4,0.006776379477250726,179660.0,Rural
262,536,2023-04-26,36.413125,22.49,interval_coordinate,0.17478398606943604,0.3300184754589494,0.5937707506337853,0.20543410011927507,2.370506321254478,0.3234760863779753,0.11089524842721007,9.6,0.00946969696969697,203366.0,Rural
263,538,2020-01-01,36.433108,22.481378,interval_coordinate,0.182074696129493,0.3149249805174046,0.55711768156441,0.21193129215430895,2.370506321254478,0.3234760863779753,0.11089524842721007,11.4,0.006776379477250726,179660.0,Rural
264,538,2023-04-26,36.432944,22.481444,interval_coordinate,0.17478401321850912,0.3300184546704646,0.5937708572566143,0.20543419047118666,2.370506321254478,0.3234760863779753,0.11089524842721007,9.6,0.00946969696969697,203366.0,Rural
265,539,2020-01-01,36.438981,22.490136,interval_coordinate,0.18207467862256438,0.3149250443675232,0.5571178251220443,0.21193133092727282,2.370506321254478,0.3234760863779753,0.11089524842721007,11.4,0.006776379477250726,179660.0,Rural
266,539,2023-04-26,36.438944,22.49025,interval_coordinate,0.17478398276905152,0.33001847163700604,0.5937709643346599,0.20543410962639239,2.370506321254478,0.3234760863779753,0.11089524842721007,9.6,0.00946969696969697,203366.0,Rural
267,540,2020-01-01,36.460439,22.494036,interval_coordinate,0.18207460960552652,0.3149251171038909,0.5571179920433565,0.2119313370616568,2.370506321254478,0.3234760863779753,0.11089524842721007,11.4,0.006776379477250726,179660.0,Rural
268,540,2023-04-26,36.460556,22.494333,interval_coordinate,0.17478391092387657,0.3300184889009945,0.5937711455067581,0.20543421535098827,2.370506321254478,0.3234760863779753,0.11089524842721007,9.6,0.00946969696969697,203366.0,Rural
269,547,2020-01-03,36.616569,22.47765,interval_coordinate,0.18207464661786713,0.31492507165932965,0.5571179581797612,0.21193119834432048,2.370506321254478,0.3234760863779753,0.11089524842721007,11.4,0.006776379477250726,179660.0,Rural
270,547,2023-04-26,36.617833,22.480583,interval_coordinate,0.17478389305347852,0.3300185701559387,0.5937712276930834,0.20543415845331198,2.370506321254478,0.3234760863779753,0.11089524842721007,9.6,0.00946969696969697,203366.0,Rural
271,548,2020-01-03,36.619564,22.4944,interval_coordinate,0.18207467569840813,0.3149250832856949,0.5571179445961185,0.2119310900927253,2.370506321254478,0.3234760863779753,0.11089524842721007,11.4,0.006776379477250726,179660.0,Rural
272,548,2023-04-26,36.619278,22.496972,interval_coordinate,0.17478387237546728,0.33001863216441535,0.5937713552501622,0.20543425483832842,2.370506321254478,0.3234760863779753,0.11089524842721007,9.6,0.00946969696969697,203366.0,Rural
273,550,2020-01-03,36.662353,22.544833,interval_coordinate,0.1820746369490913,0.31492496402824727,0.5571177718649281,0.21193109916807498,2.370506321254478,0.3234760863779753,0.11089524842721007,11.4,0.006776379477250726,179660.0,Rural
274,550,2023-04-26,36.660194,22.545444,interval_coordinate,0.17478378814654347,0.33001856769962024,0.5937712678794247,0.20543426289247044,2.370506321254478,0.3234760863779753,0.11089524842721007,9.6,0.00946969696969697,203366.0,Rural
275,566,2020-01-08,36.632175,22.881928,interval_coordinate,0.1699709215478267,0.3198367425384837,0.5661998187832278,0.20407776528011107,2.370506321254478,0.3234760863779753,0.11089524842721007,11.4,0.006776379477250726,179660.0,Rural
276,572,2020-01-10,36.442233,23.099756,interval_coordinate,0.16997092513973885,0.3198367439409045,0.5661997630497325,0.2040778516815243,2.370506321254478,0.3234760863779753,0.11089524842721007,11.4,0.006776379477250726,179660.0,Rural
277,573,2020-01-10,36.440817,23.108908,interval_coordinate,0.16997091799820352,0.3198367507029625,0.5661997679866445,0.2040778708305665,2.370506321254478,0.3234760863779753,0.11089524842721007,11.4,0.006776379477250726,179660.0,Rural
278,574,2020-01-10,36.485072,23.154011,interval_coordinate,0.16997098582710352,0.3198366480930731,0.56619975670416,0.2040779522358138,2.370506321254478,0.3234760863779753,0.11089524842721007,11.4,0.006776379477250726,179660.0,Rural
279,575,2020-01-10,36.485533,23.145906,interval_coordinate,0.16997096871786838,0.3198366512146,0.5661996714662709,0.20407783423021397,2.370506321254478,0.3234760863779753,0.11089524842721007,11.4,0.006776379477250726,179660.0,Rural
280,576,2020-01-10,36.504592,23.132772,interval_coordinate,0.16997095727099792,0.31983663799343043,0.5661996665043859,0.20407783467752041,2.370506321254478,0.3234760863779753,0.11089524842721007,11.4,0.006776379477250726,179660.0,Rural
281,577,2020-01-10,36.542356,23.132247,interval_coordinate,0.16997084955012742,0.3198365711615345,0.5661997077144971,0.20407792419134127,2.370506321254478,0.3234760863779753,0.11089524842721007,11.4,0.006776379477250726,179660.0,Rural
282,579,2020-01-11,36.643486,23.029539,interval_coordinate,0.1699709284471264,0.31983670529672453,0.5661997947395786,0.204077826476488,2.370506321254478,0.3234760863779753,0.11089524842721007,11.4,0.006776379477250726,179660.0,Rural
283,582,2020-01-12,36.837606,23.052422,interval_coordinate,0.16997103860122587,0.3198366897129853,0.5661996712298647,0.20407770997701352,2.370506321254478,0.3234760863779753,0.11089524842721007,11.4,0.006776379477250726,179660.0,Rural
284,585,2020-01-12,36.983639,22.996553,interval_coordinate,0.1699709188612091,0.3198368040640206,0.5661999768122068,0.20407774057437006,2.370506321254478,0.3234760863779753,0.11089524842721007,11.4,0.006776379477250726,179660.0,Rural
285,590,2020-01-13,37.241967,22.874469,interval_coordinate,0.18242955061612676,0.3062697916203882,0.5247120274981181,0.18852274740418706,2.370506321254478,0.3234760863779753,0.11089524842721007,11.4,0.006776379477250726,179660.0,Rural
