site_id,region,beach_name,beaches,latitude,longitude,previous_visit_start_date,previous_visit_end_date,next_visit_start_date,next_visit_end_date,days_between_visits,previous_total_weight,next_total_weight,repollution_kg_per_day,repollution_kg_per_30_days,repollution_kg_per_90_days,previous_recycle,previous_non_recycle,previous_blue_net,next_recycle,next_non_recycle,next_blue_net,orientation,sediment,wind_direction_previous,wind_speed_previous,road_network,tourist_business,coastline_cleaned,width_length,previous_source_files,next_source_files,match_quality,site_review_reason
5,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΆΓΙΟΣ ΓΕΏΡΓΙΟΣ ΠΑΡΑΛΊΑ 297,37.480083,23.914028,2023-08-25,2023-08-25,2024-04-12,2024-04-12,231,19.0,0.0,0.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,0.0,South,Pebbles,NE,4.0,0,0,315.0,6880.0,Typhoon2,Typhoon2,identity_review,review_coordinates; multiple_regions
6,ΔΟΚΟΣ,ΠΑΡΑΛΊΑ ΜΟΥΖΆΚΙ,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 7,37.347844,23.276108,2019-08-11,2019-08-11,2023-06-10,2023-06-10,1399,201.0,43.0,0.030736240171551108,0.9220872051465332,2.7662616154396,0.0,201.0,0.0,4.0,39.0,0.0,North,Pebbles,N,3.0,0,0,17.0,244.0,Typhoon1,Typhoon2,identity_review,multiple_regions
7,ΔΟΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 1 (1) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 1 (2) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 1 (3),37.338733,23.298261,2019-08-11,2019-08-13,2020-01-26,2020-01-26,166,604.0,40.0,0.24096385542168675,7.228915662650603,21.686746987951807,0.0,604.0,0.0,6.0,34.0,0.0,North,Mixed,N,3.0,0,0,78.0,214.0,Typhoon1,Typhoon1,identity_review,multiple_regions
7,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 32,37.338703,23.298328,2020-01-26,2020-01-26,2023-06-09,2023-06-10,1230,40.0,214.0,0.17398373983739837,5.219512195121951,15.658536585365853,6.0,34.0,0.0,22.0,192.0,0.0,North,Pebbles,Calm,0.0,0,0,17.0,212.0,Typhoon1,Typhoon2,identity_review,multiple_regions
7,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 128 (1) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 128 (2),37.338778,23.298306,2023-06-09,2023-06-10,2025-10-14,2025-10-14,857,214.0,105.0,0.12252042007001167,3.67561260210035,11.02683780630105,22.0,192.0,0.0,29.0,76.0,0.0,North,Pebbles,Calm,0.0,0,0,18.0,348.0,Typhoon2,Typhoon2,identity_review,multiple_regions
8,ΔΟΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 2,37.338478,23.303542,2019-08-14,2019-08-14,2020-01-26,2020-01-26,165,312.0,83.0,0.503030303030303,15.090909090909092,45.27272727272727,0.0,312.0,0.0,10.0,73.0,0.0,North,Pebbles,E,2.0,0,0,46.0,298.0,Typhoon1,Typhoon1,identity_review,multiple_regions
8,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 31,37.338606,23.303336,2020-01-26,2020-01-26,2023-06-08,2023-06-09,1229,83.0,44.0,0.03580146460537022,1.0740439381611064,3.2221318144833195,10.0,73.0,0.0,0.0,44.0,0.0,North,Pebbles,Calm,0.0,0,0,53.0,399.0,Typhoon1,Typhoon2,identity_review,multiple_regions
8,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 127 (1) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 127 (2),37.338639,23.303333,2023-06-08,2023-06-09,2025-10-14,2025-10-14,858,44.0,81.0,0.0944055944055944,2.832167832167832,8.496503496503497,0.0,44.0,0.0,35.0,46.0,0.0,North,Pebbles,E,2.0,0,0,50.0,396.0,Typhoon2,Typhoon2,identity_review,multiple_regions
16,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 4,37.633028,23.339183,2019-08-30,2019-08-30,2025-11-03,2025-11-03,2257,243.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,North,Pebbles,N,3.0,0,0,188.0,376.0,Typhoon1,Typhoon2,identity_review,multiple_regions
18,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 6 (1) | ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 6 (2),37.630081,23.333064,2019-09-03,2019-09-04,2023-07-28,2023-07-31,1423,590.0,498.0,0.3499648629655657,10.498945888966972,31.496837666900916,0.0,590.0,0.0,178.0,301.0,19.0,North,Pebbles,Calm,0.0,0,0,1056.0,3561.0,Typhoon1,Typhoon2,identity_review,probable; multiple_regions
18,ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 542 (1) | ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 542 (2) | ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 542 (3) | ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 542 (4),37.631083,23.3355,2023-07-28,2023-07-31,2025-11-04,2025-11-04,827,498.0,277.0,0.3349455864570738,10.048367593712214,30.14510278113664,178.0,301.0,19.0,63.0,187.0,27.0,North,Pebbles,NE,4.0,0,0,2208.0,6915.0,Typhoon2,Typhoon2,identity_review,probable; multiple_regions
19,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 7,37.569878,23.360492,2019-09-04,2019-09-04,2025-11-06,2025-11-06,2255,372.0,0.0,0.0,0.0,0.0,0.0,372.0,0.0,0.0,0.0,0.0,West,Pebbles,N,4.0,1,0,111.0,794.0,Typhoon1,Typhoon2,identity_review,multiple_regions
20,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 8,37.576344,23.359208,2019-09-05,2019-09-05,2025-11-06,2025-11-06,2254,770.0,122.0,0.05412599822537711,1.6237799467613132,4.87133984028394,0.0,770.0,0.0,32.0,85.0,5.0,West,Pebbles,N,3.0,1,0,357.0,2425.0,Typhoon1,Typhoon2,identity_review,probable; multiple_regions
