canonical_site_id,region,beach_name,beaches,latitude,longitude,previous_visit_start_date,previous_visit_end_date,next_visit_start_date,next_visit_end_date,days_between_visits,previous_total_weight,next_total_weight,repollution_kg_per_day,repollution_kg_per_30_days,repollution_kg_per_90_days,previous_recycle,previous_non_recycle,previous_blue_net,next_recycle,next_non_recycle,next_blue_net,orientation,sediment,wind_direction_previous,wind_speed_previous,road_network,tourist_business,coastline_cleaned,width_length,previous_source_files,next_source_files,original_site_ids_previous,original_site_ids_next,site_confidence,match_quality,canonical_max_coordinate_spread_m,site_review_reason
11,ΔΟΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 3 (1) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 3 (2) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 4 | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 5 (1) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 5 (2),37.334614,23.334371333333333,2019-08-16,2019-08-20,2023-05-27,2023-05-27,1376,3100.0,42.0,0.030523255813953487,0.9156976744186046,2.7470930232558137,0.0,3100.0,0.0,0.0,42.0,0.0,North,Pebbles,E,2.0,0.0,0.0,160.0,819.0,Typhoon1,Typhoon2,9 | 10 | 11,691,review,canonical_review,358.59220318349145,coordinate_spread_250_500m; multiple_special_numbers; multiple_regions
11,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 43 (1),37.334861,23.336,2023-05-27,2023-05-27,2023-06-05,2023-06-07,9,42.0,116.0,12.88888888888889,386.6666666666667,1160.0,0.0,42.0,0.0,0.0,116.0,0.0,North,Pebbles,N,5.0,0.0,0.0,47.0,,Typhoon2,Typhoon2,691,691 | 689 | 690,review,canonical_review,358.59220318349145,coordinate_spread_250_500m; multiple_special_numbers; multiple_regions
11,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 43 (2) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 116 (1) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 116 (2) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 115,37.33474066666667,23.334379666666667,2023-06-05,2023-06-07,2025-10-13,2025-10-13,859,116.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,North,Pebbles,N,5.0,0.0,0.0,91.0,725.0,Typhoon2,Typhoon2,691 | 689 | 690,689 | 690 | 691,review,canonical_review,358.59220318349145,coordinate_spread_250_500m; multiple_special_numbers; multiple_regions
12,ΔΟΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 6,37.345981,23.320642,2019-08-21,2019-08-21,2023-06-08,2023-06-08,1387,121.0,87.0,0.06272530641672674,1.8817591925018022,5.645277577505407,0.0,121.0,0.0,5.0,72.0,10.0,North,Pebbles,NE,3.0,0.0,0.0,57.0,312.0,Typhoon1,Typhoon2,12,692 | 7162 | 7163 | 7164 | 7165,review,canonical_review,484.83922155078596,coordinate_spread_250_500m; multiple_special_numbers; multiple_regions
12,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 120 | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 119 | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 121 | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 122 | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 123,37.3455278,23.3192164,2023-06-08,2023-06-08,2025-10-14,2025-10-14,859,87.0,70.0,0.08149010477299184,2.4447031431897552,7.334109429569266,5.0,72.0,10.0,23.0,47.0,0.0,North,Pebbles,N,5.0,0.0,0.0,52.0,675.0,Typhoon2,Typhoon2,692 | 7162 | 7163 | 7164 | 7165,692 | 12708 | 12709 | 13057 | 13058,review,canonical_review,484.83922155078596,coordinate_spread_250_500m; multiple_special_numbers; multiple_regions
16,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 4,37.633028,23.339183,2019-08-30,2019-08-30,2025-11-03,2025-11-03,2257,243.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,North,Pebbles,N,3.0,0.0,0.0,188.0,376.0,Typhoon1,Typhoon2,16,16,medium,canonical_medium,14.230073072392521,multiple_special_numbers; multiple_regions
16,ΜΕΘΑΝΑ,,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 34,37.633111,23.339306,2025-11-03,2025-11-03,2026-02-06,2026-02-06,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North,Mixed,NW,3.0,0.0,0.0,,,Typhoon2,Typhoon2,16,13713,medium,canonical_medium,14.230073072392521,multiple_special_numbers; multiple_regions
17,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΤΡΟΙΖΉΝΑ ΠΑΡΑΛΊΑ 5,37.507731,23.408819,2019-08-31,2019-08-31,2023-06-25,2023-06-27,1394,190.0,678.0,0.48637015781922527,14.591104734576758,43.77331420373027,0.0,190.0,0.0,93.0,569.0,16.0,North,Pebbles,N,3.0,1.0,1.0,595.0,1785.0,Typhoon1,Typhoon2,17,6849 | 6850 | 6851,review,canonical_review,541.5838249091984,coordinate_spread_over_500m; multiple_special_numbers; multiple_regions
18,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 6 (1) | ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 6 (2),37.630081,23.333064,2019-09-03,2019-09-04,2023-07-28,2023-07-31,1423,590.0,498.0,0.3499648629655657,10.498945888966972,31.496837666900916,0.0,590.0,0.0,178.0,301.0,19.0,North,Pebbles,Calm,0.0,0.0,0.0,1056.0,3561.0,Typhoon1,Typhoon2,18,18 | 6943,review,canonical_review,352.7981109836075,coordinate_spread_250_500m; multiple_special_numbers; multiple_regions
18,ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 542 (1) | ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 542 (2) | ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 542 (3) | ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 542 (4) | ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 545,37.631083,23.3355,2023-07-28,2023-07-31,2025-11-03,2025-11-04,826,498.0,393.0,0.47578692493946734,14.27360774818402,42.82082324455206,178.0,301.0,19.0,85.0,281.0,27.0,North,Pebbles,NE,4.0,0.0,0.0,2208.0,6915.0,Typhoon2,Typhoon2,18 | 6943,13152 | 18 | 13154,review,canonical_review,352.7981109836075,coordinate_spread_250_500m; multiple_special_numbers; multiple_regions
18,ΜΕΘΑΝΑ,,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 35 (1) | ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 36 | ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 35(2),37.63113933333334,23.335518333333336,2025-11-03,2025-11-04,2026-02-05,2026-02-06,93,393.0,354.0,3.806451612903226,114.19354838709678,342.58064516129036,85.0,281.0,27.0,67.0,287.0,0.0,North,Pebbles,NW,3.0,0.0,0.0,978.0,6428.0,Typhoon2,Typhoon2,13152 | 18 | 13154,12819,review,canonical_review,352.7981109836075,coordinate_spread_250_500m; multiple_special_numbers; multiple_regions
19,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 7,37.569878,23.360492,2019-09-04,2019-09-04,2025-11-06,2025-11-06,2255,372.0,0.0,0.0,0.0,0.0,0.0,372.0,0.0,0.0,0.0,0.0,West,Pebbles,N,4.0,1.0,0.0,111.0,794.0,Typhoon1,Typhoon2,19,19,high,canonical_high,36.98581757769998,multiple_regions
20,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 8,37.576344,23.359208,2019-09-05,2019-09-05,2023-08-02,2023-08-02,1427,770.0,0.0,0.0,0.0,0.0,0.0,770.0,0.0,0.0,0.0,0.0,West,Pebbles,N,3.0,1.0,0.0,357.0,2425.0,Typhoon1,Typhoon2,20,6959,review,canonical_review,507.72459265112434,coordinate_spread_over_500m; multiple_special_numbers; multiple_regions
20,ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 561,37.574167,23.359583,2023-08-02,2023-08-02,2025-11-06,2025-11-06,827,0.0,498.0,0.6021765417170496,18.065296251511487,54.195888754534465,0.0,0.0,0.0,163.0,330.0,5.0,ΔΥΤΙΚΗ,,E,3.0,0.0,0.0,,,Typhoon2,Typhoon2,6959,20 | 13168 | 13169 | 13170 | 13171,review,canonical_review,507.72459265112434,coordinate_spread_over_500m; multiple_special_numbers; multiple_regions
